Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-22;09:00:00;SYNEKTIK;SNT (SYNEKTIK);1;352.2000;-2.4000;-0.68;577;204187.80
2026-09-22;09:01:00;SYNEKTIK;SNT (SYNEKTIK);2;352.0000;-1.0000;-0.28;14;4932.00
2026-09-22;09:02:00;SYNEKTIK;SNT (SYNEKTIK);3;352.4000;-0.6000;-0.17;87;30651.80
2026-09-22;09:03:00;SYNEKTIK;SNT (SYNEKTIK);4;351.4000;-1.0000;-0.28;128;44983.20
2026-09-22;09:04:00;SYNEKTIK;SNT (SYNEKTIK);5;351.6000;0.2000;0.06;27;9485.40
2026-09-22;09:05:00;SYNEKTIK;SNT (SYNEKTIK);6;351.4000;0.4000;0.11;109;38267.60
2026-09-22;09:06:00;SYNEKTIK;SNT (SYNEKTIK);7;351.4000;0.0000;0.00;35;12288.00
2026-09-22;09:07:00;SYNEKTIK;SNT (SYNEKTIK);8;351.2000;-0.2000;-0.06;55;19318.20
2026-09-22;09:08:00;SYNEKTIK;SNT (SYNEKTIK);9;351.4000;0.2000;0.06;49;17218.40
2026-09-22;09:09:00;SYNEKTIK;SNT (SYNEKTIK);10;351.8000;0.4000;0.11;25;8793.40
2026-09-22;09:10:00;SYNEKTIK;SNT (SYNEKTIK);11;351.0000;-0.6000;-0.17;57;20035.00
2026-09-22;09:11:00;SYNEKTIK;SNT (SYNEKTIK);12;350.4000;-0.6000;-0.17;82;28776.40
2026-09-22;09:12:00;SYNEKTIK;SNT (SYNEKTIK);13;350.6000;-0.6000;-0.17;23;8069.20
2026-09-22;09:13:00;SYNEKTIK;SNT (SYNEKTIK);14;350.4000;0.2000;0.06;124;43410.20
2026-09-22;09:14:00;SYNEKTIK;SNT (SYNEKTIK);15;350.4000;1.0000;0.29;92;32129.60
2026-09-22;09:15:00;SYNEKTIK;SNT (SYNEKTIK);16;350.4000;0.0000;0.00;6;2102.40
2026-09-22;09:16:00;SYNEKTIK;SNT (SYNEKTIK);17;349.4000;-1.0000;-0.29;8;2800.20
2026-09-22;09:17:00;SYNEKTIK;SNT (SYNEKTIK);18;349.0000;-1.4000;-0.40;29;10132.00
