Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-10;09:00:00;TARCZYNSKI;TAR (TARCZYNSKI);1;122.5000;0.0000;0.00;11;1347.50
2026-08-10;09:09:00;TARCZYNSKI;TAR (TARCZYNSKI);2;122.0000;0.0000;0.00;6;732.00
2026-08-10;09:20:00;TARCZYNSKI;TAR (TARCZYNSKI);3;122.0000;0.0000;0.00;9;1098.00
2026-08-10;09:25:00;TARCZYNSKI;TAR (TARCZYNSKI);4;122.0000;0.0000;0.00;1;122.00
2026-08-10;10:32:00;TARCZYNSKI;TAR (TARCZYNSKI);5;122.5000;0.0000;0.00;8;980.00
2026-08-10;11:29:00;TARCZYNSKI;TAR (TARCZYNSKI);6;122.5000;0.0000;0.00;1;122.50
2026-08-10;11:40:00;TARCZYNSKI;TAR (TARCZYNSKI);7;122.5000;0.0000;0.00;2;245.00
2026-08-10;14:03:00;TARCZYNSKI;TAR (TARCZYNSKI);8;123.0000;0.5000;0.41;571;70201.50
2026-08-10;14:05:00;TARCZYNSKI;TAR (TARCZYNSKI);9;123.0000;0.0000;0.00;1;123.00
2026-08-10;15:13:00;TARCZYNSKI;TAR (TARCZYNSKI);10;123.5000;0.0000;0.00;10;1235.00
2026-08-10;15:14:00;TARCZYNSKI;TAR (TARCZYNSKI);11;123.5000;0.0000;0.00;30;3705.00
2026-08-10;15:42:00;TARCZYNSKI;TAR (TARCZYNSKI);12;123.0000;0.0000;0.00;28;3444.00
2026-08-10;15:45:00;TARCZYNSKI;TAR (TARCZYNSKI);13;122.0000;0.0000;0.00;15;1830.00
2026-08-10;15:46:00;TARCZYNSKI;TAR (TARCZYNSKI);14;123.5000;0.0000;0.00;5;617.50
2026-08-10;16:38:00;TARCZYNSKI;TAR (TARCZYNSKI);15;123.5000;0.0000;0.00;1;123.50
