Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-03;09:00:00;TAURON;TPE (TAURONPE);1;9.0640;0.0140;0.15;13773;124916.30
2026-08-03;09:01:00;TAURON;TPE (TAURONPE);2;9.0560;-0.0060;-0.07;6675;60404.79
2026-08-03;09:02:00;TAURON;TPE (TAURONPE);3;9.0160;-0.0340;-0.38;32568;293763.92
2026-08-03;09:03:00;TAURON;TPE (TAURONPE);4;9.0440;0.0280;0.31;1464;13214.87
2026-08-03;09:04:00;TAURON;TPE (TAURONPE);5;9.1340;0.0800;0.88;19844;180675.45
2026-08-03;09:05:00;TAURON;TPE (TAURONPE);6;9.1600;0.0140;0.15;23877;218571.46
2026-08-03;09:06:00;TAURON;TPE (TAURONPE);7;9.1380;-0.0200;-0.22;49846;455754.19
2026-08-03;09:07:00;TAURON;TPE (TAURONPE);8;9.1380;0.0000;0.00;25479;232998.00
2026-08-03;09:08:00;TAURON;TPE (TAURONPE);9;9.1360;-0.0100;-0.11;34579;315922.63
2026-08-03;09:09:00;TAURON;TPE (TAURONPE);10;9.1300;-0.0040;-0.04;43744;399943.70
2026-08-03;09:10:00;TAURON;TPE (TAURONPE);11;9.1600;0.0340;0.37;27863;254743.62
2026-08-03;09:11:00;TAURON;TPE (TAURONPE);12;9.1500;0.0000;0.00;53743;491660.55
2026-08-03;09:12:00;TAURON;TPE (TAURONPE);13;9.1780;0.0280;0.31;49310;451846.94
2026-08-03;09:13:00;TAURON;TPE (TAURONPE);14;9.1800;0.0060;0.07;32929;302133.39
2026-08-03;09:14:00;TAURON;TPE (TAURONPE);15;9.1960;0.0140;0.15;27076;248860.65
2026-08-03;09:15:00;TAURON;TPE (TAURONPE);16;9.1720;-0.0260;-0.28;27738;254990.94
2026-08-03;09:16:00;TAURON;TPE (TAURONPE);17;9.1380;-0.0280;-0.31;9264;84813.59
2026-08-03;09:17:00;TAURON;TPE (TAURONPE);18;9.1360;0.0000;0.00;3740;34192.80
2026-08-03;09:18:00;TAURON;TPE (TAURONPE);19;9.1860;0.0520;0.57;12332;112894.59
2026-08-03;09:19:00;TAURON;TPE (TAURONPE);20;9.1620;-0.0160;-0.17;4201;38515.93
2026-08-03;09:20:00;TAURON;TPE (TAURONPE);21;9.1460;-0.0120;-0.13;2216;20275.84
2026-08-03;09:21:00;TAURON;TPE (TAURONPE);22;9.1920;0.0380;0.42;31662;290784.14
2026-08-03;09:22:00;TAURON;TPE (TAURONPE);23;9.2020;0.0200;0.22;37595;345972.25
2026-08-03;09:23:00;TAURON;TPE (TAURONPE);24;9.2100;0.0080;0.09;6972;64163.41
2026-08-03;09:24:00;TAURON;TPE (TAURONPE);25;9.1920;-0.0060;-0.07;10586;97458.77
2026-08-03;09:25:00;TAURON;TPE (TAURONPE);26;9.2160;0.0200;0.22;26769;246499.64
2026-08-03;09:26:00;TAURON;TPE (TAURONPE);27;9.2200;0.0100;0.11;9063;83551.29
2026-08-03;09:27:00;TAURON;TPE (TAURONPE);28;9.2180;0.0040;0.04;7610;70171.23
2026-08-03;09:28:00;TAURON;TPE (TAURONPE);29;9.2100;-0.0060;-0.07;1870;17223.01
2026-08-03;09:29:00;TAURON;TPE (TAURONPE);30;9.2160;0.0000;0.00;5694;52440.84
2026-08-03;09:30:00;TAURON;TPE (TAURONPE);31;9.2320;0.0160;0.17;54021;499137.21
2026-08-03;09:31:00;TAURON;TPE (TAURONPE);32;9.2360;0.0120;0.13;6031;55653.97
2026-08-03;09:32:00;TAURON;TPE (TAURONPE);33;9.2260;-0.0020;-0.02;545;5028.66
2026-08-03;09:33:00;TAURON;TPE (TAURONPE);34;9.2260;0.0040;0.04;52;479.67
2026-08-03;09:34:00;TAURON;TPE (TAURONPE);35;9.2500;0.0200;0.22;14177;131023.04
2026-08-03;09:35:00;TAURON;TPE (TAURONPE);36;9.2720;0.0220;0.24;23908;221329.95
2026-08-03;09:36:00;TAURON;TPE (TAURONPE);37;9.3060;0.0280;0.30;118875;1105296.66
2026-08-03;09:37:00;TAURON;TPE (TAURONPE);38;9.2820;-0.0240;-0.26;8450;78527.95
2026-08-03;09:38:00;TAURON;TPE (TAURONPE);39;9.2740;0.0000;0.00;16558;153499.35
2026-08-03;09:39:00;TAURON;TPE (TAURONPE);40;9.2880;0.0140;0.15;2913;27025.54
2026-08-03;09:40:00;TAURON;TPE (TAURONPE);41;9.2640;-0.0240;-0.26;15600;144508.10
2026-08-03;09:41:00;TAURON;TPE (TAURONPE);42;9.2880;0.0240;0.26;34057;316523.38
2026-08-03;09:42:00;TAURON;TPE (TAURONPE);43;9.2760;-0.0140;-0.15;1520;14102.61
2026-08-03;09:43:00;TAURON;TPE (TAURONPE);44;9.2800;0.0040;0.04;4589;42584.86
2026-08-03;09:44:00;TAURON;TPE (TAURONPE);45;9.2760;0.0040;0.04;4766;44194.40
2026-08-03;09:45:00;TAURON;TPE (TAURONPE);46;9.3020;0.0240;0.26;17029;158255.69
2026-08-03;09:46:00;TAURON;TPE (TAURONPE);47;9.2880;-0.0120;-0.13;5023;46706.20
2026-08-03;09:47:00;TAURON;TPE (TAURONPE);48;9.2820;0.0060;0.06;725;6730.04
2026-08-03;09:48:00;TAURON;TPE (TAURONPE);49;9.2880;0.0040;0.04;25062;233114.45
2026-08-03;09:49:00;TAURON;TPE (TAURONPE);50;9.2900;-0.0020;-0.02;3353;31171.79
2026-08-03;09:50:00;TAURON;TPE (TAURONPE);51;9.2940;0.0040;0.04;7872;73114.15
2026-08-03;09:51:00;TAURON;TPE (TAURONPE);52;9.2840;-0.0020;-0.02;3927;36458.81
2026-08-03;09:52:00;TAURON;TPE (TAURONPE);53;9.2800;0.0000;0.00;6373;59140.58
2026-08-03;09:53:00;TAURON;TPE (TAURONPE);54;9.2780;-0.0040;-0.04;8012;74344.24
2026-08-03;09:54:00;TAURON;TPE (TAURONPE);55;9.2740;-0.0020;-0.02;4361;40433.78
2026-08-03;09:55:00;TAURON;TPE (TAURONPE);56;9.3000;0.0300;0.32;57793;536540.34
2026-08-03;09:56:00;TAURON;TPE (TAURONPE);57;9.3020;-0.0020;-0.02;266;2474.85
2026-08-03;09:57:00;TAURON;TPE (TAURONPE);58;9.3020;-0.0020;-0.02;9470;88120.87
2026-08-03;09:58:00;TAURON;TPE (TAURONPE);59;9.2900;-0.0120;-0.13;2982;27726.82
2026-08-03;09:59:00;TAURON;TPE (TAURONPE);60;9.2980;0.0060;0.06;2324;21604.55
