Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-25;09:00:00;TEN;TEN (TSGAMES);1;99.6000;0.0000;0.00;55;5478.00
2026-09-25;09:02:00;TEN;TEN (TSGAMES);2;99.6000;0.0000;0.00;10;996.00
2026-09-25;09:04:00;TEN;TEN (TSGAMES);3;99.0000;0.0000;0.00;1;99.00
2026-09-25;09:05:00;TEN;TEN (TSGAMES);4;99.3000;0.1000;0.10;15;1489.40
2026-09-25;09:11:00;TEN;TEN (TSGAMES);5;98.9000;0.0000;0.00;10;989.00
2026-09-25;09:12:00;TEN;TEN (TSGAMES);6;99.1000;0.0000;0.00;1;99.10
2026-09-25;09:16:00;TEN;TEN (TSGAMES);7;98.9000;0.0000;0.00;9;890.10
2026-09-25;09:18:00;TEN;TEN (TSGAMES);8;98.9000;0.0000;0.00;30;2967.00
2026-09-25;09:19:00;TEN;TEN (TSGAMES);9;98.8000;-0.1000;-0.10;82;8105.55
2026-09-25;09:23:00;TEN;TEN (TSGAMES);10;99.0000;0.0000;0.00;1;99.00
2026-09-25;09:25:00;TEN;TEN (TSGAMES);11;99.0000;0.0000;0.00;10;990.00
2026-09-25;09:27:00;TEN;TEN (TSGAMES);12;98.7500;0.0000;0.00;1;98.75
2026-09-25;09:29:00;TEN;TEN (TSGAMES);13;98.7000;0.0000;0.00;2;197.40
2026-09-25;09:30:00;TEN;TEN (TSGAMES);14;99.0000;0.0000;0.00;10;990.00
2026-09-25;09:31:00;TEN;TEN (TSGAMES);15;99.1500;0.0000;0.00;4;396.60
2026-09-25;09:32:00;TEN;TEN (TSGAMES);16;99.1000;-0.0500;-0.05;13;1288.60
2026-09-25;09:41:00;TEN;TEN (TSGAMES);17;98.9500;0.0000;0.00;20;1979.00
2026-09-25;09:46:00;TEN;TEN (TSGAMES);18;98.9500;0.0000;0.00;10;989.50
2026-09-25;09:49:00;TEN;TEN (TSGAMES);19;99.0500;0.2500;0.25;246;24352.85
2026-09-25;09:53:00;TEN;TEN (TSGAMES);20;99.0500;0.0000;0.00;1;99.05
2026-09-25;09:54:00;TEN;TEN (TSGAMES);21;99.0500;0.0000;0.00;24;2377.20
2026-09-25;09:56:00;TEN;TEN (TSGAMES);22;98.7000;-0.2000;-0.20;60;5929.10
2026-09-25;10:00:00;TEN;TEN (TSGAMES);23;98.8500;0.0000;0.00;21;2075.85
2026-09-25;10:02:00;TEN;TEN (TSGAMES);24;99.0000;0.0000;0.00;480;47520.00
2026-09-25;10:03:00;TEN;TEN (TSGAMES);25;99.2000;0.0000;0.00;2;198.40
2026-09-25;10:06:00;TEN;TEN (TSGAMES);26;99.2000;0.0000;0.00;9;892.80
2026-09-25;10:08:00;TEN;TEN (TSGAMES);27;99.2000;0.0000;0.00;11;1091.20
2026-09-25;10:09:00;TEN;TEN (TSGAMES);28;99.0500;0.0000;0.00;37;3664.85
2026-09-25;10:20:00;TEN;TEN (TSGAMES);29;99.2000;0.0000;0.00;62;6150.40
2026-09-25;10:21:00;TEN;TEN (TSGAMES);30;99.3500;0.0000;0.00;41;4073.35
2026-09-25;10:27:00;TEN;TEN (TSGAMES);31;99.3500;0.0000;0.00;30;2980.50
2026-09-25;10:28:00;TEN;TEN (TSGAMES);32;99.3500;-0.0500;-0.05;104;10334.55
2026-09-25;10:30:00;TEN;TEN (TSGAMES);33;99.0000;-0.3000;-0.30;132;13076.20
2026-09-25;10:40:00;TEN;TEN (TSGAMES);34;99.0500;0.0000;0.00;60;5943.00
2026-09-25;10:50:00;TEN;TEN (TSGAMES);35;99.0500;0.0000;0.00;30;2971.50
2026-09-25;10:52:00;TEN;TEN (TSGAMES);36;99.2000;0.0500;0.05;85;8430.05
2026-09-25;10:53:00;TEN;TEN (TSGAMES);37;99.2500;0.0000;0.00;15;1488.75
2026-09-25;10:54:00;TEN;TEN (TSGAMES);38;99.2500;0.0000;0.00;27;2679.75
2026-09-25;10:55:00;TEN;TEN (TSGAMES);39;98.9000;-0.3000;-0.30;361;35709.35
2026-09-25;10:56:00;TEN;TEN (TSGAMES);40;99.2500;0.2500;0.25;13;1287.25
2026-09-25;11:04:00;TEN;TEN (TSGAMES);41;99.0000;0.0000;0.00;48;4752.00
2026-09-25;11:05:00;TEN;TEN (TSGAMES);42;98.9000;-0.0500;-0.05;279;27595.20
2026-09-25;11:06:00;TEN;TEN (TSGAMES);43;98.7500;-0.1000;-0.10;44;4345.95
2026-09-25;11:08:00;TEN;TEN (TSGAMES);44;98.7500;0.0000;0.00;17;1678.75
