Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-15;09:00:00;TORPOL;TOR (TORPOL);1;68.7000;0.0000;0.00;67;4602.90
2026-09-15;09:01:00;TORPOL;TOR (TORPOL);2;68.6000;0.0000;0.00;15;1029.00
2026-09-15;09:03:00;TORPOL;TOR (TORPOL);3;68.7000;0.0000;0.00;3;206.10
2026-09-15;09:05:00;TORPOL;TOR (TORPOL);4;68.7000;0.0000;0.00;2;137.40
2026-09-15;09:13:00;TORPOL;TOR (TORPOL);5;68.7000;0.0000;0.00;5;343.50
2026-09-15;09:18:00;TORPOL;TOR (TORPOL);6;68.2000;-0.2000;-0.29;119;8118.50
2026-09-15;09:19:00;TORPOL;TOR (TORPOL);7;68.7000;0.0000;0.00;10;687.00
2026-09-15;09:22:00;TORPOL;TOR (TORPOL);8;68.7000;0.0000;0.00;1;68.70
2026-09-15;09:33:00;TORPOL;TOR (TORPOL);9;68.1000;-0.2000;-0.29;126;8583.00
2026-09-15;09:36:00;TORPOL;TOR (TORPOL);10;68.3000;0.0000;0.00;2;136.60
2026-09-15;09:39:00;TORPOL;TOR (TORPOL);11;68.3000;0.0000;0.00;201;13728.30
2026-09-15;09:40:00;TORPOL;TOR (TORPOL);12;68.3000;0.1000;0.15;128;8735.60
2026-09-15;09:44:00;TORPOL;TOR (TORPOL);13;68.2000;0.1000;0.15;647;44002.90
2026-09-15;09:45:00;TORPOL;TOR (TORPOL);14;67.8000;0.0000;0.00;28;1898.40
2026-09-15;09:46:00;TORPOL;TOR (TORPOL);15;67.8000;0.0000;0.00;6;406.80
2026-09-15;09:48:00;TORPOL;TOR (TORPOL);16;67.7000;0.0000;0.00;40;2708.00
2026-09-15;09:49:00;TORPOL;TOR (TORPOL);17;67.7000;0.0000;0.00;43;2911.10
2026-09-15;09:50:00;TORPOL;TOR (TORPOL);18;67.8000;0.1000;0.15;137;9278.60
2026-09-15;09:51:00;TORPOL;TOR (TORPOL);19;67.6000;-0.2000;-0.29;555;37461.80
2026-09-15;09:54:00;TORPOL;TOR (TORPOL);20;67.9000;0.0000;0.00;1;67.90
