Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-26;09:00:00;TOYA;TOA (TOYA);1;9.5800;0.0000;0.00;1033;9896.14
2026-08-26;09:03:00;TOYA;TOA (TOYA);2;9.5800;0.0000;0.00;6;57.48
2026-08-26;09:04:00;TOYA;TOA (TOYA);3;9.5700;0.0000;0.00;5;47.85
2026-08-26;09:06:00;TOYA;TOA (TOYA);4;9.5800;0.0000;0.00;26;249.08
2026-08-26;09:12:00;TOYA;TOA (TOYA);5;9.5800;0.0000;0.00;101;967.58
2026-08-26;09:13:00;TOYA;TOA (TOYA);6;9.5900;0.0100;0.10;100;958.70
2026-08-26;09:15:00;TOYA;TOA (TOYA);7;9.5500;-0.0400;-0.42;390;3735.35
2026-08-26;09:16:00;TOYA;TOA (TOYA);8;9.6000;0.0100;0.10;1278;12264.96
2026-08-26;09:21:00;TOYA;TOA (TOYA);9;9.5900;0.0000;0.00;51;489.09
2026-08-26;09:23:00;TOYA;TOA (TOYA);10;9.5600;0.0000;0.00;107;1022.92
2026-08-26;09:26:00;TOYA;TOA (TOYA);11;9.5600;0.0000;0.00;50;478.00
2026-08-26;09:28:00;TOYA;TOA (TOYA);12;9.5500;-0.0100;-0.10;555;5304.83
2026-08-26;09:30:00;TOYA;TOA (TOYA);13;9.5500;-0.0400;-0.42;755;7210.45
2026-08-26;09:31:00;TOYA;TOA (TOYA);14;9.5100;-0.0400;-0.42;1174;11193.66
2026-08-26;09:39:00;TOYA;TOA (TOYA);15;9.5200;-0.0400;-0.42;580;5530.00
2026-08-26;09:43:00;TOYA;TOA (TOYA);16;9.5200;0.0000;0.00;58;552.16
2026-08-26;09:46:00;TOYA;TOA (TOYA);17;9.5300;0.0000;0.00;84;800.52
2026-08-26;09:52:00;TOYA;TOA (TOYA);18;9.5800;0.0000;0.00;100;958.00
2026-08-26;09:54:00;TOYA;TOA (TOYA);19;9.5300;0.0000;0.00;32;304.96
2026-08-26;10:00:00;TOYA;TOA (TOYA);20;9.5300;0.0000;0.00;10;95.30
2026-08-26;10:13:00;TOYA;TOA (TOYA);21;9.5800;0.0000;0.00;10;95.80
2026-08-26;10:15:00;TOYA;TOA (TOYA);22;9.5800;0.0000;0.00;15;143.70
2026-08-26;10:32:00;TOYA;TOA (TOYA);23;9.5300;-0.0500;-0.52;1602;15311.27
2026-08-26;10:40:00;TOYA;TOA (TOYA);24;9.6200;0.0400;0.42;3632;34859.30
2026-08-26;10:42:00;TOYA;TOA (TOYA);25;9.5600;-0.0600;-0.62;2255;21637.42
2026-08-26;10:43:00;TOYA;TOA (TOYA);26;9.6200;0.0000;0.00;300;2886.00
2026-08-26;10:48:00;TOYA;TOA (TOYA);27;9.6300;0.0100;0.10;3891;37532.41
2026-08-26;10:57:00;TOYA;TOA (TOYA);28;9.5900;0.0000;0.00;101;968.59
2026-08-26;11:01:00;TOYA;TOA (TOYA);29;9.5900;0.0000;0.00;50;479.50
2026-08-26;11:03:00;TOYA;TOA (TOYA);30;9.6300;0.0000;0.00;4;38.52
2026-08-26;11:10:00;TOYA;TOA (TOYA);31;9.5900;0.0000;0.00;500;4795.00
2026-08-26;11:12:00;TOYA;TOA (TOYA);32;9.5900;0.0000;0.00;7;67.13
2026-08-26;11:21:00;TOYA;TOA (TOYA);33;9.5900;0.0000;0.00;10;95.90
2026-08-26;11:26:00;TOYA;TOA (TOYA);34;9.6300;0.0100;0.10;2000;19246.33
2026-08-26;11:28:00;TOYA;TOA (TOYA);35;9.6500;0.0000;0.00;100;965.00
2026-08-26;11:30:00;TOYA;TOA (TOYA);36;9.6600;0.0100;0.10;1600;15449.91
2026-08-26;11:32:00;TOYA;TOA (TOYA);37;9.6700;0.0100;0.10;1000;9660.59
2026-08-26;11:33:00;TOYA;TOA (TOYA);38;9.6300;-0.0100;-0.10;52;500.78
2026-08-26;11:36:00;TOYA;TOA (TOYA);39;9.6300;0.0000;0.00;500;4815.00
2026-08-26;11:39:00;TOYA;TOA (TOYA);40;9.6700;0.0000;0.00;1;9.67
2026-08-26;11:44:00;TOYA;TOA (TOYA);41;9.6700;0.0000;0.00;500;4835.00
2026-08-26;11:59:00;TOYA;TOA (TOYA);42;9.6400;0.0000;0.00;17;163.88
2026-08-26;12:08:00;TOYA;TOA (TOYA);43;9.6700;0.0000;0.00;150;1450.50
2026-08-26;12:10:00;TOYA;TOA (TOYA);44;9.6800;0.0100;0.10;1200;11612.12
2026-08-26;12:11:00;TOYA;TOA (TOYA);45;9.6800;0.0000;0.00;1000;9680.00
2026-08-26;12:12:00;TOYA;TOA (TOYA);46;9.7000;0.0100;0.10;11642;112748.31
2026-08-26;12:22:00;TOYA;TOA (TOYA);47;9.6900;0.0000;0.00;150;1453.50
2026-08-26;12:30:00;TOYA;TOA (TOYA);48;9.6300;-0.0600;-0.62;1250;12121.00
2026-08-26;12:31:00;TOYA;TOA (TOYA);49;9.7000;0.0100;0.10;172;1667.90
2026-08-26;12:35:00;TOYA;TOA (TOYA);50;9.7100;0.0000;0.00;2000;19420.00
2026-08-26;12:39:00;TOYA;TOA (TOYA);51;9.7400;0.0100;0.10;103;1002.72
2026-08-26;12:43:00;TOYA;TOA (TOYA);52;9.7000;0.0000;0.00;128;1241.60
2026-08-26;12:51:00;TOYA;TOA (TOYA);53;9.6300;0.0000;0.00;5;48.15
2026-08-26;12:55:00;TOYA;TOA (TOYA);54;9.6500;0.0000;0.00;353;3406.45
2026-08-26;13:21:00;TOYA;TOA (TOYA);55;9.6500;0.0000;0.00;140;1351.00
2026-08-26;13:23:00;TOYA;TOA (TOYA);56;9.6500;0.0000;0.00;150;1447.50
2026-08-26;13:25:00;TOYA;TOA (TOYA);57;9.6300;0.0000;0.00;100;963.00
2026-08-26;13:38:00;TOYA;TOA (TOYA);58;9.7000;0.0000;0.00;3;29.10
2026-08-26;13:42:00;TOYA;TOA (TOYA);59;9.6300;0.0000;0.00;1;9.63
2026-08-26;13:44:00;TOYA;TOA (TOYA);60;9.7000;0.0000;0.00;32;310.40
2026-08-26;13:56:00;TOYA;TOA (TOYA);61;9.7000;0.0000;0.00;109;1057.30
2026-08-26;14:09:00;TOYA;TOA (TOYA);62;9.6400;0.0000;0.00;5;48.20
2026-08-26;14:17:00;TOYA;TOA (TOYA);63;9.6400;0.0000;0.00;102;983.28
2026-08-26;14:18:00;TOYA;TOA (TOYA);64;9.6400;0.0000;0.00;3;28.92
2026-08-26;14:31:00;TOYA;TOA (TOYA);65;9.6400;0.0000;0.00;4;38.56
2026-08-26;14:37:00;TOYA;TOA (TOYA);66;9.6900;0.0000;0.00;60;581.40
2026-08-26;14:39:00;TOYA;TOA (TOYA);67;9.6900;0.0000;0.00;55;532.95
2026-08-26;15:04:00;TOYA;TOA (TOYA);68;9.6900;0.0000;0.00;75;726.75
2026-08-26;15:06:00;TOYA;TOA (TOYA);69;9.6900;0.0000;0.00;2;19.38
2026-08-26;15:16:00;TOYA;TOA (TOYA);70;9.6900;0.0000;0.00;300;2907.00
2026-08-26;15:22:00;TOYA;TOA (TOYA);71;9.6900;0.0500;0.52;8;77.22
2026-08-26;15:24:00;TOYA;TOA (TOYA);72;9.6900;0.0000;0.00;3;29.07
2026-08-26;15:25:00;TOYA;TOA (TOYA);73;9.6400;0.0000;0.00;6;57.84
2026-08-26;15:26:00;TOYA;TOA (TOYA);74;9.6400;0.0000;0.00;4;38.56
2026-08-26;15:34:00;TOYA;TOA (TOYA);75;9.6400;-0.0200;-0.21;700;6754.94
2026-08-26;15:37:00;TOYA;TOA (TOYA);76;9.6900;0.0000;0.00;5;48.45
2026-08-26;15:44:00;TOYA;TOA (TOYA);77;9.6400;0.0000;0.00;66;636.24
2026-08-26;15:46:00;TOYA;TOA (TOYA);78;9.6900;0.0000;0.00;30;290.70
2026-08-26;16:03:00;TOYA;TOA (TOYA);79;9.6400;0.0000;0.00;134;1291.76
2026-08-26;16:11:00;TOYA;TOA (TOYA);80;9.6400;0.0000;0.00;15;144.60
2026-08-26;16:19:00;TOYA;TOA (TOYA);81;9.6300;-0.0600;-0.62;1857;17885.21
2026-08-26;16:20:00;TOYA;TOA (TOYA);82;9.6900;0.0000;0.00;180;1744.20
2026-08-26;16:21:00;TOYA;TOA (TOYA);83;9.6900;0.0000;0.00;1;9.69
2026-08-26;16:24:00;TOYA;TOA (TOYA);84;9.6900;0.0000;0.00;149;1443.81
2026-08-26;16:34:00;TOYA;TOA (TOYA);85;9.6900;0.0000;0.00;120;1162.80
2026-08-26;16:36:00;TOYA;TOA (TOYA);86;9.6900;0.0000;0.00;410;3972.90
2026-08-26;16:38:00;TOYA;TOA (TOYA);87;9.6900;0.0000;0.00;9;87.21
2026-08-26;16:39:00;TOYA;TOA (TOYA);88;9.7000;0.0100;0.10;1000;9699.78
