Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-31;09:00:00;TRAKCJA;TRK (TRAKCJA);1;4.0800;0.0000;0.00;2789;11379.12
2026-08-31;09:01:00;TRAKCJA;TRK (TRAKCJA);2;4.1200;0.0300;0.73;10000;41049.98
2026-08-31;09:04:00;TRAKCJA;TRK (TRAKCJA);3;4.0500;-0.0300;-0.74;800;3244.38
2026-08-31;09:05:00;TRAKCJA;TRK (TRAKCJA);4;4.1200;0.0000;0.00;100;412.00
2026-08-31;09:06:00;TRAKCJA;TRK (TRAKCJA);5;4.1150;-0.0050;-0.12;913;3761.55
2026-08-31;09:07:00;TRAKCJA;TRK (TRAKCJA);6;4.1200;0.0100;0.24;700;2881.89
2026-08-31;09:08:00;TRAKCJA;TRK (TRAKCJA);7;4.1200;0.0000;0.00;500;2060.00
2026-08-31;09:09:00;TRAKCJA;TRK (TRAKCJA);8;4.0750;0.0000;0.00;1;4.08
2026-08-31;09:12:00;TRAKCJA;TRK (TRAKCJA);9;4.0750;0.0000;0.00;2499;10183.42
2026-08-31;09:13:00;TRAKCJA;TRK (TRAKCJA);10;4.0750;0.0000;0.00;202;823.15
2026-08-31;09:18:00;TRAKCJA;TRK (TRAKCJA);11;4.0750;0.0100;0.25;1582;6436.25
2026-08-31;09:20:00;TRAKCJA;TRK (TRAKCJA);12;4.0600;0.0000;0.00;1000;4060.00
2026-08-31;09:44:00;TRAKCJA;TRK (TRAKCJA);13;4.0700;0.0000;0.00;29;118.03
2026-08-31;09:54:00;TRAKCJA;TRK (TRAKCJA);14;4.0700;0.0000;0.00;7;28.49
2026-08-31;10:01:00;TRAKCJA;TRK (TRAKCJA);15;4.0750;0.0000;0.00;10;40.75
2026-08-31;10:12:00;TRAKCJA;TRK (TRAKCJA);16;4.0500;-0.0200;-0.49;1350;5481.06
2026-08-31;10:30:00;TRAKCJA;TRK (TRAKCJA);17;4.0500;0.0000;0.00;25;101.25
2026-08-31;10:32:00;TRAKCJA;TRK (TRAKCJA);18;4.0500;0.0000;0.00;883;3576.15
2026-08-31;10:33:00;TRAKCJA;TRK (TRAKCJA);19;4.0500;0.0000;0.00;2;8.10
2026-08-31;10:58:00;TRAKCJA;TRK (TRAKCJA);20;4.0500;0.0000;0.00;2;8.10
2026-08-31;11:00:00;TRAKCJA;TRK (TRAKCJA);21;4.0500;0.0000;0.00;123;498.15
2026-08-31;11:01:00;TRAKCJA;TRK (TRAKCJA);22;4.0500;0.0000;0.00;50;202.50
2026-08-31;11:16:00;TRAKCJA;TRK (TRAKCJA);23;4.0500;0.0000;0.00;50;202.50
2026-08-31;11:19:00;TRAKCJA;TRK (TRAKCJA);24;4.0500;0.0000;0.00;246;996.30
2026-08-31;11:23:00;TRAKCJA;TRK (TRAKCJA);25;4.0400;0.0000;0.00;99;399.96
2026-08-31;11:31:00;TRAKCJA;TRK (TRAKCJA);26;4.0400;0.0000;0.00;500;2020.00
2026-08-31;11:42:00;TRAKCJA;TRK (TRAKCJA);27;4.0500;0.0000;0.00;15;60.75
2026-08-31;12:00:00;TRAKCJA;TRK (TRAKCJA);28;4.0500;0.0000;0.00;123;498.15
2026-08-31;12:10:00;TRAKCJA;TRK (TRAKCJA);29;4.0400;0.0000;0.00;94;379.76
2026-08-31;12:16:00;TRAKCJA;TRK (TRAKCJA);30;4.0500;0.0000;0.00;1;4.05
2026-08-31;12:21:00;TRAKCJA;TRK (TRAKCJA);31;4.0300;-0.0100;-0.25;500;2017.96
2026-08-31;12:30:00;TRAKCJA;TRK (TRAKCJA);32;4.0300;-0.0100;-0.25;129;520.01
2026-08-31;12:40:00;TRAKCJA;TRK (TRAKCJA);33;4.0000;-0.0200;-0.50;3366;13482.06
2026-08-31;12:50:00;TRAKCJA;TRK (TRAKCJA);34;4.0000;-0.0200;-0.50;858;3456.13
2026-08-31;13:05:00;TRAKCJA;TRK (TRAKCJA);35;4.0500;0.0000;0.00;200;810.00
2026-08-31;13:11:00;TRAKCJA;TRK (TRAKCJA);36;4.0050;0.0000;0.00;2;8.01
2026-08-31;13:14:00;TRAKCJA;TRK (TRAKCJA);37;4.0500;0.0000;0.00;150;607.50
2026-08-31;13:15:00;TRAKCJA;TRK (TRAKCJA);38;4.0050;0.0000;0.00;500;2002.50
2026-08-31;13:20:00;TRAKCJA;TRK (TRAKCJA);39;4.0100;0.0000;0.00;2300;9223.00
2026-08-31;13:22:00;TRAKCJA;TRK (TRAKCJA);40;4.0000;-0.0050;-0.12;1048;4194.49
2026-08-31;13:27:00;TRAKCJA;TRK (TRAKCJA);41;3.9800;-0.0100;-0.25;10533;41923.34
2026-08-31;13:32:00;TRAKCJA;TRK (TRAKCJA);42;3.9800;0.0050;0.13;579;2304.04
2026-08-31;13:33:00;TRAKCJA;TRK (TRAKCJA);43;3.9800;0.0000;0.00;250;995.00
2026-08-31;13:34:00;TRAKCJA;TRK (TRAKCJA);44;3.9800;0.0000;0.00;551;2192.98
2026-08-31;13:35:00;TRAKCJA;TRK (TRAKCJA);45;3.9800;0.0000;0.00;450;1791.00
2026-08-31;13:36:00;TRAKCJA;TRK (TRAKCJA);46;3.9800;0.0000;0.00;238;947.24
2026-08-31;13:37:00;TRAKCJA;TRK (TRAKCJA);47;4.0000;0.0200;0.50;1554;6205.23
2026-08-31;13:48:00;TRAKCJA;TRK (TRAKCJA);48;3.9750;-0.0050;-0.13;632;2512.83
2026-08-31;14:07:00;TRAKCJA;TRK (TRAKCJA);49;4.0000;0.0000;0.00;200;800.00
2026-08-31;14:08:00;TRAKCJA;TRK (TRAKCJA);50;4.0000;0.0000;0.00;76;304.00
2026-08-31;14:09:00;TRAKCJA;TRK (TRAKCJA);51;4.0500;0.0050;0.12;1750;7085.66
2026-08-31;14:10:00;TRAKCJA;TRK (TRAKCJA);52;4.0000;0.0000;0.00;26;104.00
2026-08-31;14:24:00;TRAKCJA;TRK (TRAKCJA);53;4.0500;0.0000;0.00;350;1417.50
2026-08-31;14:25:00;TRAKCJA;TRK (TRAKCJA);54;4.0500;0.0000;0.00;20;81.00
2026-08-31;14:35:00;TRAKCJA;TRK (TRAKCJA);55;4.0500;0.0000;0.00;108;437.40
2026-08-31;14:46:00;TRAKCJA;TRK (TRAKCJA);56;4.0100;0.0000;0.00;2;8.02
2026-08-31;15:10:00;TRAKCJA;TRK (TRAKCJA);57;4.0150;0.0000;0.00;1300;5219.50
2026-08-31;15:19:00;TRAKCJA;TRK (TRAKCJA);58;4.0500;0.0000;0.00;245;992.25
2026-08-31;15:31:00;TRAKCJA;TRK (TRAKCJA);59;4.0200;0.0000;0.00;750;3015.00
2026-08-31;15:33:00;TRAKCJA;TRK (TRAKCJA);60;4.0500;0.0000;0.00;3;12.15
2026-08-31;15:34:00;TRAKCJA;TRK (TRAKCJA);61;4.0200;0.0000;0.00;1500;6030.00
2026-08-31;15:41:00;TRAKCJA;TRK (TRAKCJA);62;4.0200;0.0000;0.00;1000;4020.00
2026-08-31;15:43:00;TRAKCJA;TRK (TRAKCJA);63;4.0450;0.0000;0.00;1000;4045.00
2026-08-31;15:44:00;TRAKCJA;TRK (TRAKCJA);64;4.0500;0.0000;0.00;8;32.40
2026-08-31;15:46:00;TRAKCJA;TRK (TRAKCJA);65;4.0600;0.0100;0.25;365;1478.91
2026-08-31;16:07:00;TRAKCJA;TRK (TRAKCJA);66;4.0200;0.0000;0.00;6;24.12
2026-08-31;16:08:00;TRAKCJA;TRK (TRAKCJA);67;4.0200;0.0000;0.00;120;482.40
2026-08-31;16:13:00;TRAKCJA;TRK (TRAKCJA);68;4.0200;0.0000;0.00;1;4.02
2026-08-31;16:14:00;TRAKCJA;TRK (TRAKCJA);69;4.0200;-0.0400;-0.99;48;193.08
2026-08-31;16:25:00;TRAKCJA;TRK (TRAKCJA);70;4.0200;0.0000;0.00;1000;4020.00
2026-08-31;16:33:00;TRAKCJA;TRK (TRAKCJA);71;4.0200;0.0000;0.00;301;1210.02
2026-08-31;16:37:00;TRAKCJA;TRK (TRAKCJA);72;4.0200;0.0000;0.00;870;3497.40
2026-08-31;16:38:00;TRAKCJA;TRK (TRAKCJA);73;4.0300;0.0000;0.00;15;60.45
2026-08-31;16:40:00;TRAKCJA;TRK (TRAKCJA);74;4.0550;0.0000;0.00;25;101.38
2026-08-31;16:48:00;TRAKCJA;TRK (TRAKCJA);75;4.0200;0.0000;0.00;324;1302.48
2026-08-31;16:49:00;TRAKCJA;TRK (TRAKCJA);76;4.0550;0.0000;0.00;3;12.16
2026-08-31;17:00:00;TRAKCJA;TRK (TRAKCJA);77;4.0200;0.0000;0.00;44;176.88
