Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;TRANS-POLONIA;TRN (TRANSPOL);1;13.5000;0.0000;0.00;71;958.50
2026-09-07;09:03:00;TRANS-POLONIA;TRN (TRANSPOL);2;13.5500;0.0000;0.00;500;6775.00
2026-09-07;09:07:00;TRANS-POLONIA;TRN (TRANSPOL);3;12.8000;-0.7000;-5.19;2933;38811.45
2026-09-07;09:09:00;TRANS-POLONIA;TRN (TRANSPOL);4;12.9500;0.0000;0.00;140;1813.00
2026-09-07;09:12:00;TRANS-POLONIA;TRN (TRANSPOL);5;13.0000;-0.3500;-2.62;57;753.95
2026-09-07;09:14:00;TRANS-POLONIA;TRN (TRANSPOL);6;12.8000;-0.5500;-4.12;141;1835.60
2026-09-07;09:16:00;TRANS-POLONIA;TRN (TRANSPOL);7;12.8500;0.0000;0.00;70;899.50
2026-09-07;09:22:00;TRANS-POLONIA;TRN (TRANSPOL);8;13.3500;0.0000;0.00;38;507.30
2026-09-07;09:33:00;TRANS-POLONIA;TRN (TRANSPOL);9;12.8500;-0.1500;-1.15;1223;15769.70
2026-09-07;09:41:00;TRANS-POLONIA;TRN (TRANSPOL);10;13.3000;0.0000;0.00;150;1995.00
2026-09-07;09:42:00;TRANS-POLONIA;TRN (TRANSPOL);11;13.3500;0.0000;0.00;12;160.20
2026-09-07;09:43:00;TRANS-POLONIA;TRN (TRANSPOL);12;13.3500;0.0000;0.00;107;1428.45
2026-09-07;09:44:00;TRANS-POLONIA;TRN (TRANSPOL);13;13.1500;0.0000;0.00;176;2314.40
2026-09-07;09:45:00;TRANS-POLONIA;TRN (TRANSPOL);14;13.1000;0.0000;0.00;330;4323.00
2026-09-07;09:52:00;TRANS-POLONIA;TRN (TRANSPOL);15;13.1000;0.0000;0.00;100;1310.00
2026-09-07;10:01:00;TRANS-POLONIA;TRN (TRANSPOL);16;13.1000;0.0000;0.00;100;1310.00
2026-09-07;10:02:00;TRANS-POLONIA;TRN (TRANSPOL);17;12.9500;-0.1500;-1.15;61;797.70
2026-09-07;10:04:00;TRANS-POLONIA;TRN (TRANSPOL);18;12.9500;0.0000;0.00;124;1605.80
2026-09-07;10:05:00;TRANS-POLONIA;TRN (TRANSPOL);19;12.9500;0.0000;0.00;12;155.40
2026-09-07;10:11:00;TRANS-POLONIA;TRN (TRANSPOL);20;13.2000;0.0000;0.00;2;26.40
2026-09-07;10:32:00;TRANS-POLONIA;TRN (TRANSPOL);21;13.0000;0.0000;0.00;500;6500.00
2026-09-07;10:44:00;TRANS-POLONIA;TRN (TRANSPOL);22;13.0500;0.0000;0.00;10;130.50
2026-09-07;10:45:00;TRANS-POLONIA;TRN (TRANSPOL);23;13.0500;0.0000;0.00;120;1566.00
2026-09-07;11:21:00;TRANS-POLONIA;TRN (TRANSPOL);24;13.2000;0.0000;0.00;37;488.40
2026-09-07;11:27:00;TRANS-POLONIA;TRN (TRANSPOL);25;13.2500;0.0500;0.38;486;6435.20
2026-09-07;11:41:00;TRANS-POLONIA;TRN (TRANSPOL);26;13.2500;0.0500;0.38;411;5416.95
2026-09-07;11:44:00;TRANS-POLONIA;TRN (TRANSPOL);27;13.1000;0.0000;0.00;261;3419.10
2026-09-07;11:45:00;TRANS-POLONIA;TRN (TRANSPOL);28;13.1000;0.0500;0.38;550;7191.95
2026-09-07;12:13:00;TRANS-POLONIA;TRN (TRANSPOL);29;13.2500;0.0000;0.00;2;26.50
2026-09-07;12:14:00;TRANS-POLONIA;TRN (TRANSPOL);30;13.2500;0.0000;0.00;14;185.50
2026-09-07;12:15:00;TRANS-POLONIA;TRN (TRANSPOL);31;13.2500;0.0000;0.00;33;437.25
2026-09-07;12:16:00;TRANS-POLONIA;TRN (TRANSPOL);32;13.2500;0.0000;0.00;3;39.75
2026-09-07;12:21:00;TRANS-POLONIA;TRN (TRANSPOL);33;13.1000;0.0000;0.00;600;7860.00
2026-09-07;12:25:00;TRANS-POLONIA;TRN (TRANSPOL);34;13.2000;0.0000;0.00;3;39.60
2026-09-07;12:29:00;TRANS-POLONIA;TRN (TRANSPOL);35;13.2000;0.0000;0.00;1;13.20
2026-09-07;12:42:00;TRANS-POLONIA;TRN (TRANSPOL);36;13.2000;0.0000;0.00;1;13.20
2026-09-07;12:50:00;TRANS-POLONIA;TRN (TRANSPOL);37;13.2000;0.0000;0.00;2;26.40
2026-09-07;13:10:00;TRANS-POLONIA;TRN (TRANSPOL);38;13.2000;0.0000;0.00;8;105.60
2026-09-07;13:22:00;TRANS-POLONIA;TRN (TRANSPOL);39;13.0500;0.0000;0.00;20;261.00
2026-09-07;13:28:00;TRANS-POLONIA;TRN (TRANSPOL);40;13.2000;0.0000;0.00;1;13.20
2026-09-07;13:45:00;TRANS-POLONIA;TRN (TRANSPOL);41;13.0500;0.0000;0.00;1;13.05
2026-09-07;14:05:00;TRANS-POLONIA;TRN (TRANSPOL);42;13.2000;0.0000;0.00;206;2719.20
2026-09-07;14:25:00;TRANS-POLONIA;TRN (TRANSPOL);43;13.3000;0.0500;0.38;79;1046.80
2026-09-07;14:28:00;TRANS-POLONIA;TRN (TRANSPOL);44;13.2000;0.0000;0.00;92;1214.40
2026-09-07;14:37:00;TRANS-POLONIA;TRN (TRANSPOL);45;13.3000;0.0000;0.00;15;199.50
2026-09-07;14:38:00;TRANS-POLONIA;TRN (TRANSPOL);46;13.3000;0.0000;0.00;1;13.30
2026-09-07;14:52:00;TRANS-POLONIA;TRN (TRANSPOL);47;13.3000;0.0000;0.00;1;13.30
2026-09-07;14:54:00;TRANS-POLONIA;TRN (TRANSPOL);48;13.3000;0.0000;0.00;307;4083.10
2026-09-07;14:55:00;TRANS-POLONIA;TRN (TRANSPOL);49;13.4000;0.0500;0.37;3091;41381.90
2026-09-07;15:00:00;TRANS-POLONIA;TRN (TRANSPOL);50;13.2000;0.0000;0.00;77;1016.40
2026-09-07;15:02:00;TRANS-POLONIA;TRN (TRANSPOL);51;13.6000;0.0000;0.00;7;95.20
2026-09-07;15:03:00;TRANS-POLONIA;TRN (TRANSPOL);52;13.3000;0.0000;0.00;10;133.00
2026-09-07;15:05:00;TRANS-POLONIA;TRN (TRANSPOL);53;13.6000;0.0000;0.00;293;3984.80
2026-09-07;15:06:00;TRANS-POLONIA;TRN (TRANSPOL);54;13.6500;0.0000;0.00;450;6142.50
2026-09-07;15:17:00;TRANS-POLONIA;TRN (TRANSPOL);55;13.3000;0.0000;0.00;1;13.30
2026-09-07;15:22:00;TRANS-POLONIA;TRN (TRANSPOL);56;13.2500;-0.0500;-0.38;330;4383.05
2026-09-07;15:31:00;TRANS-POLONIA;TRN (TRANSPOL);57;13.3000;0.0000;0.00;40;532.00
2026-09-07;15:36:00;TRANS-POLONIA;TRN (TRANSPOL);58;13.5000;0.0000;0.00;10;135.00
2026-09-07;16:06:00;TRANS-POLONIA;TRN (TRANSPOL);59;13.5000;0.0000;0.00;150;2025.00
2026-09-07;16:07:00;TRANS-POLONIA;TRN (TRANSPOL);60;13.5500;0.0500;0.37;63;850.55
2026-09-07;16:12:00;TRANS-POLONIA;TRN (TRANSPOL);61;13.5000;0.0000;0.00;1;13.50
2026-09-07;16:16:00;TRANS-POLONIA;TRN (TRANSPOL);62;13.5500;0.0500;0.37;398;5387.95
2026-09-07;16:17:00;TRANS-POLONIA;TRN (TRANSPOL);63;13.3500;-0.3000;-2.20;804;10971.60
2026-09-07;16:18:00;TRANS-POLONIA;TRN (TRANSPOL);64;13.6500;0.0000;0.00;272;3712.80
2026-09-07;16:29:00;TRANS-POLONIA;TRN (TRANSPOL);65;13.6500;0.0000;0.00;4;54.60
2026-09-07;16:42:00;TRANS-POLONIA;TRN (TRANSPOL);66;13.5500;0.0000;0.00;10;135.50
2026-09-07;16:43:00;TRANS-POLONIA;TRN (TRANSPOL);67;13.3500;-0.0500;-0.37;213;2854.15
2026-09-07;16:46:00;TRANS-POLONIA;TRN (TRANSPOL);68;13.5000;0.0000;0.00;26;351.00
2026-09-07;17:00:00;TRANS-POLONIA;TRN (TRANSPOL);69;13.3500;0.0000;0.00;196;2616.60
