Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:00:00;TXT;TXT (TEXT);1;47.2200;-0.1800;-0.38;1936;91639.76
2026-07-24;09:01:00;TXT;TXT (TEXT);2;46.7600;-0.4200;-0.89;7296;341856.88
2026-07-24;09:02:00;TXT;TXT (TEXT);3;46.9400;0.0200;0.04;143;6712.22
2026-07-24;09:03:00;TXT;TXT (TEXT);4;46.9600;0.0200;0.04;49;2300.26
2026-07-24;09:04:00;TXT;TXT (TEXT);5;47.0000;0.0000;0.00;2;94.00
2026-07-24;09:05:00;TXT;TXT (TEXT);6;46.9800;0.0800;0.17;194;9100.00
2026-07-24;09:07:00;TXT;TXT (TEXT);7;46.8000;-0.1200;-0.26;1122;52616.34
2026-07-24;09:08:00;TXT;TXT (TEXT);8;46.7800;0.0000;0.00;4;187.12
2026-07-24;09:09:00;TXT;TXT (TEXT);9;46.7000;-0.0800;-0.17;80;3738.96
2026-07-24;09:10:00;TXT;TXT (TEXT);10;46.7400;0.0400;0.09;92;4299.64
2026-07-24;09:11:00;TXT;TXT (TEXT);11;46.8400;0.0000;0.00;60;2810.40
2026-07-24;09:12:00;TXT;TXT (TEXT);12;46.8800;-0.0200;-0.04;161;7546.24
2026-07-24;09:13:00;TXT;TXT (TEXT);13;46.8800;0.0000;0.00;2;93.76
2026-07-24;09:14:00;TXT;TXT (TEXT);14;46.8800;0.1600;0.34;76;3550.88
2026-07-24;09:16:00;TXT;TXT (TEXT);15;46.9000;0.0000;0.00;40;1876.00
2026-07-24;09:17:00;TXT;TXT (TEXT);16;46.9000;0.1400;0.30;31;1449.36
2026-07-24;09:18:00;TXT;TXT (TEXT);17;47.3200;0.4200;0.90;4937;232014.20
2026-07-24;09:20:00;TXT;TXT (TEXT);18;47.2000;0.0000;0.00;45;2124.00
2026-07-24;09:21:00;TXT;TXT (TEXT);19;47.2200;-0.1400;-0.30;475;22510.00
2026-07-24;09:23:00;TXT;TXT (TEXT);20;47.2800;-0.0400;-0.08;1098;51933.84
2026-07-24;09:24:00;TXT;TXT (TEXT);21;47.3400;0.0000;0.00;63;2982.42
2026-07-24;09:26:00;TXT;TXT (TEXT);22;47.2800;0.0000;0.00;1;47.28
2026-07-24;09:27:00;TXT;TXT (TEXT);23;47.3000;0.0000;0.00;16;756.80
2026-07-24;09:28:00;TXT;TXT (TEXT);24;47.2400;-0.1800;-0.38;351;16594.30
2026-07-24;09:30:00;TXT;TXT (TEXT);25;47.0200;-0.1000;-0.21;75;3532.00
2026-07-24;09:31:00;TXT;TXT (TEXT);26;47.0200;0.0000;0.00;50;2351.00
2026-07-24;09:32:00;TXT;TXT (TEXT);27;47.0200;0.0000;0.00;70;3291.40
2026-07-24;09:34:00;TXT;TXT (TEXT);28;47.0200;0.0000;0.00;32;1504.64
2026-07-24;09:40:00;TXT;TXT (TEXT);29;47.1400;0.0200;0.04;287;13525.10
2026-07-24;09:43:00;TXT;TXT (TEXT);30;47.1400;0.0000;0.00;2;94.28
2026-07-24;09:44:00;TXT;TXT (TEXT);31;47.1200;-0.0200;-0.04;65;3064.02
2026-07-24;09:46:00;TXT;TXT (TEXT);32;47.1200;0.0000;0.00;1;47.12
2026-07-24;09:47:00;TXT;TXT (TEXT);33;47.2600;0.0200;0.04;8;377.96
2026-07-24;09:48:00;TXT;TXT (TEXT);34;47.2400;0.0000;0.00;100;4724.00
2026-07-24;09:49:00;TXT;TXT (TEXT);35;47.3000;0.0000;0.00;10;473.00
2026-07-24;09:50:00;TXT;TXT (TEXT);36;47.3000;0.0000;0.00;112;5297.60
2026-07-24;09:51:00;TXT;TXT (TEXT);37;47.3800;0.0000;0.00;179;8481.02
2026-07-24;09:52:00;TXT;TXT (TEXT);38;47.3800;0.0000;0.00;65;3079.70
2026-07-24;09:53:00;TXT;TXT (TEXT);39;47.3400;0.0600;0.13;420;19864.48
2026-07-24;09:55:00;TXT;TXT (TEXT);40;47.4200;0.0000;0.00;77;3651.34
2026-07-24;09:57:00;TXT;TXT (TEXT);41;47.3600;0.0000;0.00;83;3930.88
2026-07-24;09:58:00;TXT;TXT (TEXT);42;47.3000;-0.0400;-0.08;411;19448.38
2026-07-24;09:59:00;TXT;TXT (TEXT);43;47.0400;-0.3200;-0.68;1600;75411.20
2026-07-24;10:01:00;TXT;TXT (TEXT);44;47.1600;0.0000;0.00;100;4716.00
2026-07-24;10:02:00;TXT;TXT (TEXT);45;47.2600;0.0000;0.00;10;472.60
2026-07-24;10:05:00;TXT;TXT (TEXT);46;47.1200;-0.1200;-0.25;84;3962.16
2026-07-24;10:06:00;TXT;TXT (TEXT);47;47.0600;0.0000;0.00;30;1411.80
2026-07-24;10:07:00;TXT;TXT (TEXT);48;47.0600;-0.0400;-0.08;50;2353.80
2026-07-24;10:08:00;TXT;TXT (TEXT);49;47.0400;0.0000;0.00;3578;167268.92
2026-07-24;10:09:00;TXT;TXT (TEXT);50;47.2000;0.1000;0.21;500;23588.72
2026-07-24;10:10:00;TXT;TXT (TEXT);51;47.1600;0.0000;0.00;2;94.32
2026-07-24;10:13:00;TXT;TXT (TEXT);52;47.5200;0.3600;0.76;3650;172912.04
2026-07-24;10:14:00;TXT;TXT (TEXT);53;47.5200;0.0400;0.08;349;16559.10
2026-07-24;10:15:00;TXT;TXT (TEXT);54;47.3600;0.0000;0.00;40;1894.40
2026-07-24;10:16:00;TXT;TXT (TEXT);55;47.5600;0.0800;0.17;527;25037.70
2026-07-24;10:18:00;TXT;TXT (TEXT);56;47.4800;0.0000;0.00;45;2136.60
2026-07-24;10:19:00;TXT;TXT (TEXT);57;47.3800;-0.1000;-0.21;856;40581.48
2026-07-24;10:24:00;TXT;TXT (TEXT);58;47.5000;0.0000;0.00;21;997.50
2026-07-24;10:25:00;TXT;TXT (TEXT);59;47.5400;0.0000;0.00;21;998.34
2026-07-24;10:27:00;TXT;TXT (TEXT);60;47.5000;0.0000;0.00;5;237.50
2026-07-24;10:28:00;TXT;TXT (TEXT);61;47.5000;0.0000;0.00;21;997.50
2026-07-24;10:29:00;TXT;TXT (TEXT);62;47.4400;0.0000;0.00;19;901.36
2026-07-24;10:31:00;TXT;TXT (TEXT);63;47.4000;-0.0400;-0.08;163;7729.40
2026-07-24;10:35:00;TXT;TXT (TEXT);64;47.3600;0.0000;0.00;65;3078.40
2026-07-24;10:37:00;TXT;TXT (TEXT);65;47.5000;0.0000;0.00;154;7315.00
2026-07-24;10:38:00;TXT;TXT (TEXT);66;47.5800;0.0200;0.04;176;8372.00
2026-07-24;10:43:00;TXT;TXT (TEXT);67;47.5800;-0.0400;-0.08;215;10234.10
2026-07-24;10:45:00;TXT;TXT (TEXT);68;47.6000;-0.0200;-0.04;147;6998.14
