Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-29;09:00:00;ULG;ULG (ULTGAMES);1;15.6000;0.0000;0.00;79;1232.40
2026-07-29;09:04:00;ULG;ULG (ULTGAMES);2;15.2500;0.0000;0.00;1;15.25
2026-07-29;09:05:00;ULG;ULG (ULTGAMES);3;15.2500;0.0000;0.00;2;30.50
2026-07-29;09:28:00;ULG;ULG (ULTGAMES);4;15.6000;0.0000;0.00;1;15.60
2026-07-29;09:30:00;ULG;ULG (ULTGAMES);5;15.5500;0.0000;0.00;17;264.35
2026-07-29;09:38:00;ULG;ULG (ULTGAMES);6;15.7000;0.3000;1.95;320;5004.90
2026-07-29;09:57:00;ULG;ULG (ULTGAMES);7;15.2500;0.0000;0.00;175;2668.75
2026-07-29;10:05:00;ULG;ULG (ULTGAMES);8;15.0000;0.0000;0.00;43;645.00
2026-07-29;10:09:00;ULG;ULG (ULTGAMES);9;15.6000;0.0000;0.00;12;187.20
2026-07-29;10:16:00;ULG;ULG (ULTGAMES);10;15.5500;0.0000;0.00;400;6220.00
2026-07-29;10:20:00;ULG;ULG (ULTGAMES);11;15.5000;0.0000;0.00;200;3100.00
2026-07-29;10:21:00;ULG;ULG (ULTGAMES);12;15.5000;0.0000;0.00;2;31.00
2026-07-29;10:22:00;ULG;ULG (ULTGAMES);13;15.0000;-0.1000;-0.66;150;2254.60
2026-07-29;10:28:00;ULG;ULG (ULTGAMES);14;15.0000;-0.4000;-2.60;229;3453.40
2026-07-29;10:32:00;ULG;ULG (ULTGAMES);15;15.5000;0.0000;0.00;11;170.50
2026-07-29;10:47:00;ULG;ULG (ULTGAMES);16;15.5000;0.3000;1.97;32;493.00
2026-07-29;11:09:00;ULG;ULG (ULTGAMES);17;15.5000;0.0000;0.00;442;6851.00
2026-07-29;11:11:00;ULG;ULG (ULTGAMES);18;15.6000;0.0000;0.00;188;2932.80
2026-07-29;11:13:00;ULG;ULG (ULTGAMES);19;15.6500;0.0500;0.32;99;1549.30
2026-07-29;11:14:00;ULG;ULG (ULTGAMES);20;15.3000;-0.3000;-1.92;295;4516.80
2026-07-29;11:17:00;ULG;ULG (ULTGAMES);21;15.5000;0.0000;0.00;102;1581.00
2026-07-29;11:21:00;ULG;ULG (ULTGAMES);22;15.5000;0.0000;0.00;6;93.00
2026-07-29;11:27:00;ULG;ULG (ULTGAMES);23;15.5000;0.0000;0.00;227;3518.50
2026-07-29;11:29:00;ULG;ULG (ULTGAMES);24;15.6000;0.0000;0.00;11;171.60
2026-07-29;11:30:00;ULG;ULG (ULTGAMES);25;15.6000;0.0000;0.00;189;2948.40
2026-07-29;11:31:00;ULG;ULG (ULTGAMES);26;15.6000;0.0000;0.00;7;109.20
2026-07-29;11:32:00;ULG;ULG (ULTGAMES);27;15.6000;0.0000;0.00;55;858.00
2026-07-29;11:39:00;ULG;ULG (ULTGAMES);28;15.6500;0.0000;0.00;100;1565.00
2026-07-29;11:41:00;ULG;ULG (ULTGAMES);29;15.5500;0.0000;0.00;50;777.50
2026-07-29;11:48:00;ULG;ULG (ULTGAMES);30;15.6000;0.0000;0.00;2;31.20
2026-07-29;11:50:00;ULG;ULG (ULTGAMES);31;15.6500;0.0000;0.00;100;1565.00
