Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-16;09:01:00;ULMA-CONSTRUCCION;ULM (ULMA);1;55.5000;0.0000;0.00;1;55.50
2026-07-16;09:04:00;ULMA-CONSTRUCCION;ULM (ULMA);2;53.0000;0.0000;0.00;300;15900.00
2026-07-16;09:13:00;ULMA-CONSTRUCCION;ULM (ULMA);3;53.0000;0.0000;0.00;155;8215.00
2026-07-16;10:54:00;ULMA-CONSTRUCCION;ULM (ULMA);4;53.0000;0.0000;0.00;114;6042.00
2026-07-16;13:02:00;ULMA-CONSTRUCCION;ULM (ULMA);5;54.0000;0.0000;0.00;300;16200.00
2026-07-16;13:12:00;ULMA-CONSTRUCCION;ULM (ULMA);6;53.0000;0.0000;0.00;323;17119.00
2026-07-16;15:56:00;ULMA-CONSTRUCCION;ULM (ULMA);7;54.5000;0.0000;0.00;100;5450.00
2026-07-16;16:16:00;ULMA-CONSTRUCCION;ULM (ULMA);8;53.0000;0.0000;0.00;96;5088.00
2026-07-16;16:30:00;ULMA-CONSTRUCCION;ULM (ULMA);9;53.0000;0.0000;0.00;128;6784.00
2026-07-16;16:34:00;ULMA-CONSTRUCCION;ULM (ULMA);10;53.0000;0.0000;0.00;224;11872.00
2026-07-16;17:00:00;ULMA-CONSTRUCCION;ULM (ULMA);11;54.5000;0.0000;0.00;100;5450.00
