Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-21;09:00:00;UNIBEP;UNI (UNIBEP);1;13.5000;0.0000;0.00;175;2362.50
2026-08-21;09:11:00;UNIBEP;UNI (UNIBEP);2;13.5000;0.0000;0.00;10;135.00
2026-08-21;09:29:00;UNIBEP;UNI (UNIBEP);3;13.3800;0.0000;0.00;80;1070.40
2026-08-21;09:39:00;UNIBEP;UNI (UNIBEP);4;13.4800;0.0000;0.00;1;13.48
2026-08-21;10:07:00;UNIBEP;UNI (UNIBEP);5;13.3800;0.0000;0.00;87;1164.06
2026-08-21;10:37:00;UNIBEP;UNI (UNIBEP);6;13.3800;0.0000;0.00;150;2007.00
2026-08-21;10:39:00;UNIBEP;UNI (UNIBEP);7;13.3400;0.0000;0.00;40;533.60
2026-08-21;11:09:00;UNIBEP;UNI (UNIBEP);8;13.3400;0.0000;0.00;10;133.40
2026-08-21;11:11:00;UNIBEP;UNI (UNIBEP);9;13.4800;0.1000;0.75;9;121.02
2026-08-21;11:15:00;UNIBEP;UNI (UNIBEP);10;13.4800;0.0000;0.00;1;13.48
2026-08-21;11:16:00;UNIBEP;UNI (UNIBEP);11;13.3400;0.0000;0.00;5;66.70
2026-08-21;11:55:00;UNIBEP;UNI (UNIBEP);12;13.4800;0.0000;0.00;30;404.40
2026-08-21;11:56:00;UNIBEP;UNI (UNIBEP);13;13.4800;0.0000;0.00;198;2669.04
2026-08-21;12:12:00;UNIBEP;UNI (UNIBEP);14;13.4000;0.0000;0.00;5;67.00
2026-08-21;13:17:00;UNIBEP;UNI (UNIBEP);15;13.4200;0.0000;0.00;73;979.66
2026-08-21;13:18:00;UNIBEP;UNI (UNIBEP);16;13.4000;0.0000;0.00;350;4690.00
2026-08-21;13:45:00;UNIBEP;UNI (UNIBEP);17;13.4800;0.0000;0.00;150;2022.00
2026-08-21;14:00:00;UNIBEP;UNI (UNIBEP);18;13.4800;0.0000;0.00;10;134.80
2026-08-21;14:49:00;UNIBEP;UNI (UNIBEP);19;13.4000;0.0000;0.00;8;107.20
2026-08-21;14:50:00;UNIBEP;UNI (UNIBEP);20;13.3800;0.0000;0.00;192;2568.96
2026-08-21;14:58:00;UNIBEP;UNI (UNIBEP);21;13.4800;0.0000;0.00;10;134.80
2026-08-21;15:04:00;UNIBEP;UNI (UNIBEP);22;13.4800;0.0000;0.00;7;94.36
2026-08-21;15:19:00;UNIBEP;UNI (UNIBEP);23;13.3800;0.0000;0.00;150;2007.00
2026-08-21;15:25:00;UNIBEP;UNI (UNIBEP);24;13.3800;0.0000;0.00;5;66.90
2026-08-21;15:50:00;UNIBEP;UNI (UNIBEP);25;13.3800;0.0000;0.00;30;401.40
2026-08-21;15:51:00;UNIBEP;UNI (UNIBEP);26;13.4800;0.0000;0.00;50;674.00
2026-08-21;16:01:00;UNIBEP;UNI (UNIBEP);27;13.4800;0.0000;0.00;13;175.24
