Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:00:00;UNIMOT-GAZ;UNT (UNIMOT);1;166.0000;0.0000;0.00;4;664.00
2026-07-24;09:07:00;UNIMOT-GAZ;UNT (UNIMOT);2;165.8000;0.0000;0.00;1;165.80
2026-07-24;09:11:00;UNIMOT-GAZ;UNT (UNIMOT);3;165.8000;0.0000;0.00;7;1160.60
2026-07-24;09:12:00;UNIMOT-GAZ;UNT (UNIMOT);4;166.0000;0.0000;0.00;3;498.00
2026-07-24;09:26:00;UNIMOT-GAZ;UNT (UNIMOT);5;166.0000;0.0000;0.00;1;166.00
2026-07-24;10:05:00;UNIMOT-GAZ;UNT (UNIMOT);6;167.4000;0.4000;0.24;30;5016.00
2026-07-24;10:20:00;UNIMOT-GAZ;UNT (UNIMOT);7;167.4000;0.0000;0.00;31;5189.40
2026-07-24;11:01:00;UNIMOT-GAZ;UNT (UNIMOT);8;166.6000;0.0000;0.00;2;333.20
2026-07-24;11:09:00;UNIMOT-GAZ;UNT (UNIMOT);9;168.0000;0.8000;0.48;6;1004.80
2026-07-24;11:44:00;UNIMOT-GAZ;UNT (UNIMOT);10;168.0000;0.0000;0.00;29;4872.00
2026-07-24;11:46:00;UNIMOT-GAZ;UNT (UNIMOT);11;168.0000;0.0000;0.00;12;2016.00
2026-07-24;12:07:00;UNIMOT-GAZ;UNT (UNIMOT);12;167.0000;0.0000;0.00;1;167.00
2026-07-24;12:11:00;UNIMOT-GAZ;UNT (UNIMOT);13;167.0000;0.0000;0.00;10;1670.00
2026-07-24;12:15:00;UNIMOT-GAZ;UNT (UNIMOT);14;167.0000;0.0000;0.00;8;1336.00
2026-07-24;12:17:00;UNIMOT-GAZ;UNT (UNIMOT);15;167.0000;0.0000;0.00;48;8016.00
2026-07-24;12:23:00;UNIMOT-GAZ;UNT (UNIMOT);16;166.6000;0.0000;0.00;4;666.40
2026-07-24;12:25:00;UNIMOT-GAZ;UNT (UNIMOT);17;166.4000;0.0000;0.00;31;5158.40
2026-07-24;12:27:00;UNIMOT-GAZ;UNT (UNIMOT);18;165.8000;-0.2000;-0.12;14;2321.60
2026-07-24;12:51:00;UNIMOT-GAZ;UNT (UNIMOT);19;164.4000;-1.4000;-0.84;59;9738.20
2026-07-24;13:01:00;UNIMOT-GAZ;UNT (UNIMOT);20;164.4000;0.0000;0.00;28;4603.20
2026-07-24;13:09:00;UNIMOT-GAZ;UNT (UNIMOT);21;165.2000;0.0000;0.00;1;165.20
2026-07-24;13:16:00;UNIMOT-GAZ;UNT (UNIMOT);22;165.2000;0.0000;0.00;1;165.20
2026-07-24;13:18:00;UNIMOT-GAZ;UNT (UNIMOT);23;163.4000;-0.4000;-0.24;203;33219.40
2026-07-24;13:19:00;UNIMOT-GAZ;UNT (UNIMOT);24;163.4000;0.0000;0.00;97;15849.80
2026-07-24;13:27:00;UNIMOT-GAZ;UNT (UNIMOT);25;164.8000;0.0000;0.00;1;164.80
2026-07-24;13:29:00;UNIMOT-GAZ;UNT (UNIMOT);26;164.8000;0.0000;0.00;24;3955.20
2026-07-24;13:37:00;UNIMOT-GAZ;UNT (UNIMOT);27;163.4000;0.0000;0.00;1;163.40
2026-07-24;13:57:00;UNIMOT-GAZ;UNT (UNIMOT);28;163.4000;0.0000;0.00;195;31845.40
2026-07-24;14:23:00;UNIMOT-GAZ;UNT (UNIMOT);29;163.4000;0.0000;0.00;2;326.80
2026-07-24;14:51:00;UNIMOT-GAZ;UNT (UNIMOT);30;164.8000;0.0000;0.00;30;4944.00
