Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:06:00;URT;URT (URTESTE);1;43.7000;0.0000;0.00;20;874.00
2026-08-25;09:08:00;URT;URT (URTESTE);2;43.7000;0.0000;0.00;2;87.40
2026-08-25;09:11:00;URT;URT (URTESTE);3;43.7000;0.0000;0.00;8;349.60
2026-08-25;09:23:00;URT;URT (URTESTE);4;43.6000;0.0000;0.00;2;87.20
2026-08-25;09:24:00;URT;URT (URTESTE);5;43.6000;0.0000;0.00;92;4011.20
2026-08-25;09:26:00;URT;URT (URTESTE);6;43.6000;0.0000;0.00;1;43.60
2026-08-25;10:12:00;URT;URT (URTESTE);7;43.6000;0.0000;0.00;2;87.20
2026-08-25;10:37:00;URT;URT (URTESTE);8;43.6000;0.0000;0.00;2;87.20
2026-08-25;10:57:00;URT;URT (URTESTE);9;43.7000;0.0000;0.00;10;437.00
2026-08-25;10:59:00;URT;URT (URTESTE);10;43.7000;0.0000;0.00;2;87.40
2026-08-25;13:14:00;URT;URT (URTESTE);11;43.7000;0.0000;0.00;5;218.50
2026-08-25;14:50:00;URT;URT (URTESTE);12;43.6000;0.0000;0.00;1;43.60
2026-08-25;14:53:00;URT;URT (URTESTE);13;43.7000;0.0000;0.00;50;2185.00
