Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-31;09:00:00;VGO;VGO (VIGOPHOTN);1;485.0000;2.0000;0.41;302;145877.00
2026-08-31;09:02:00;VGO;VGO (VIGOPHOTN);2;489.0000;4.0000;0.82;61;29736.00
2026-08-31;09:03:00;VGO;VGO (VIGOPHOTN);3;489.0000;0.0000;0.00;8;3912.00
2026-08-31;09:05:00;VGO;VGO (VIGOPHOTN);4;489.0000;0.0000;0.00;21;10269.00
2026-08-31;09:06:00;VGO;VGO (VIGOPHOTN);5;484.0000;0.0000;0.00;4;1936.00
2026-08-31;09:07:00;VGO;VGO (VIGOPHOTN);6;488.0000;0.0000;0.00;4;1952.00
2026-08-31;09:23:00;VGO;VGO (VIGOPHOTN);7;488.0000;0.0000;0.00;5;2440.00
2026-08-31;09:24:00;VGO;VGO (VIGOPHOTN);8;488.0000;0.0000;0.00;97;47336.00
2026-08-31;09:25:00;VGO;VGO (VIGOPHOTN);9;488.0000;4.0000;0.83;2;972.00
2026-08-31;09:32:00;VGO;VGO (VIGOPHOTN);10;488.0000;0.0000;0.00;5;2440.00
2026-08-31;09:33:00;VGO;VGO (VIGOPHOTN);11;488.0000;0.0000;0.00;11;5368.00
2026-08-31;09:34:00;VGO;VGO (VIGOPHOTN);12;483.0000;-1.0000;-0.21;14;6765.00
2026-08-31;09:35:00;VGO;VGO (VIGOPHOTN);13;482.0000;-1.0000;-0.21;68;32780.00
2026-08-31;09:37:00;VGO;VGO (VIGOPHOTN);14;482.0000;0.0000;0.00;11;5302.00
2026-08-31;09:38:00;VGO;VGO (VIGOPHOTN);15;482.0000;0.0000;0.00;26;12532.00
2026-08-31;09:40:00;VGO;VGO (VIGOPHOTN);16;486.0000;0.0000;0.00;3;1458.00
2026-08-31;09:41:00;VGO;VGO (VIGOPHOTN);17;477.0000;-6.0000;-1.24;17;8143.00
2026-08-31;09:56:00;VGO;VGO (VIGOPHOTN);18;480.0000;0.0000;0.00;2;960.00
2026-08-31;10:00:00;VGO;VGO (VIGOPHOTN);19;480.0000;0.0000;0.00;13;6240.00
2026-08-31;10:09:00;VGO;VGO (VIGOPHOTN);20;484.0000;0.0000;0.00;2;968.00
2026-08-31;10:15:00;VGO;VGO (VIGOPHOTN);21;484.0000;0.0000;0.00;10;4840.00
2026-08-31;11:21:00;VGO;VGO (VIGOPHOTN);22;478.0000;0.0000;0.00;4;1912.00
2026-08-31;11:27:00;VGO;VGO (VIGOPHOTN);23;478.0000;0.0000;0.00;10;4780.00
2026-08-31;11:30:00;VGO;VGO (VIGOPHOTN);24;478.0000;0.0000;0.00;1;478.00
2026-08-31;11:56:00;VGO;VGO (VIGOPHOTN);25;481.0000;0.0000;0.00;1;481.00
2026-08-31;12:11:00;VGO;VGO (VIGOPHOTN);26;481.0000;0.0000;0.00;1;481.00
2026-08-31;12:13:00;VGO;VGO (VIGOPHOTN);27;479.0000;0.0000;0.00;5;2395.00
2026-08-31;12:21:00;VGO;VGO (VIGOPHOTN);28;481.0000;0.0000;0.00;5;2405.00
2026-08-31;12:23:00;VGO;VGO (VIGOPHOTN);29;481.0000;0.0000;0.00;9;4329.00
2026-08-31;12:24:00;VGO;VGO (VIGOPHOTN);30;481.0000;0.0000;0.00;3;1443.00
2026-08-31;12:35:00;VGO;VGO (VIGOPHOTN);31;481.0000;0.0000;0.00;4;1924.00
2026-08-31;12:41:00;VGO;VGO (VIGOPHOTN);32;481.0000;0.0000;0.00;1;481.00
2026-08-31;12:42:00;VGO;VGO (VIGOPHOTN);33;481.0000;0.0000;0.00;1;481.00
2026-08-31;12:52:00;VGO;VGO (VIGOPHOTN);34;481.0000;0.0000;0.00;1;481.00
2026-08-31;13:00:00;VGO;VGO (VIGOPHOTN);35;481.0000;0.0000;0.00;25;12025.00
2026-08-31;13:04:00;VGO;VGO (VIGOPHOTN);36;479.0000;0.0000;0.00;1;479.00
2026-08-31;13:07:00;VGO;VGO (VIGOPHOTN);37;481.0000;0.0000;0.00;29;13949.00
2026-08-31;13:09:00;VGO;VGO (VIGOPHOTN);38;481.0000;0.0000;0.00;4;1924.00
2026-08-31;13:24:00;VGO;VGO (VIGOPHOTN);39;478.0000;0.0000;0.00;8;3824.00
2026-08-31;13:28:00;VGO;VGO (VIGOPHOTN);40;481.0000;0.0000;0.00;21;10101.00
2026-08-31;13:43:00;VGO;VGO (VIGOPHOTN);41;481.0000;0.0000;0.00;17;8177.00
2026-08-31;13:52:00;VGO;VGO (VIGOPHOTN);42;481.0000;0.0000;0.00;1;481.00
2026-08-31;14:06:00;VGO;VGO (VIGOPHOTN);43;479.0000;0.0000;0.00;3;1437.00
2026-08-31;14:11:00;VGO;VGO (VIGOPHOTN);44;478.0000;-2.0000;-0.42;24;11512.00
2026-08-31;14:37:00;VGO;VGO (VIGOPHOTN);45;478.0000;0.0000;0.00;10;4780.00
2026-08-31;14:41:00;VGO;VGO (VIGOPHOTN);46;476.0000;-1.0000;-0.21;39;18569.00
2026-08-31;15:08:00;VGO;VGO (VIGOPHOTN);47;476.0000;0.0000;0.00;3;1428.00
2026-08-31;15:28:00;VGO;VGO (VIGOPHOTN);48;476.0000;-1.0000;-0.21;11;5246.00
2026-08-31;15:36:00;VGO;VGO (VIGOPHOTN);49;479.0000;0.0000;0.00;11;5269.00
2026-08-31;15:37:00;VGO;VGO (VIGOPHOTN);50;479.0000;0.0000;0.00;17;8143.00
2026-08-31;15:38:00;VGO;VGO (VIGOPHOTN);51;480.0000;0.0000;0.00;2;960.00
2026-08-31;15:39:00;VGO;VGO (VIGOPHOTN);52;480.0000;0.0000;0.00;3;1440.00
2026-08-31;15:49:00;VGO;VGO (VIGOPHOTN);53;476.0000;0.0000;0.00;10;4760.00
2026-08-31;15:50:00;VGO;VGO (VIGOPHOTN);54;474.0000;-1.0000;-0.21;24;11389.00
2026-08-31;15:51:00;VGO;VGO (VIGOPHOTN);55;473.0000;-1.0000;-0.21;22;10420.00
2026-08-31;15:52:00;VGO;VGO (VIGOPHOTN);56;473.0000;0.0000;0.00;100;47300.00
2026-08-31;15:53:00;VGO;VGO (VIGOPHOTN);57;472.0000;0.0000;0.00;18;8496.00
2026-08-31;15:54:00;VGO;VGO (VIGOPHOTN);58;472.0000;0.0000;0.00;33;15576.00
2026-08-31;15:55:00;VGO;VGO (VIGOPHOTN);59;471.0000;-1.0000;-0.21;17;8015.00
2026-08-31;15:56:00;VGO;VGO (VIGOPHOTN);60;470.0000;0.0000;0.00;4;1880.00
2026-08-31;16:00:00;VGO;VGO (VIGOPHOTN);61;471.0000;0.0000;0.00;11;5181.00
2026-08-31;16:07:00;VGO;VGO (VIGOPHOTN);62;477.0000;0.0000;0.00;1;477.00
2026-08-31;16:09:00;VGO;VGO (VIGOPHOTN);63;471.0000;0.0000;0.00;27;12717.00
2026-08-31;16:10:00;VGO;VGO (VIGOPHOTN);64;471.0000;0.0000;0.00;26;12246.00
2026-08-31;16:11:00;VGO;VGO (VIGOPHOTN);65;471.0000;-6.0000;-1.26;50;23586.00
2026-08-31;16:12:00;VGO;VGO (VIGOPHOTN);66;470.0000;-1.0000;-0.21;23;10829.00
