Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-03;09:00:00;VIVID-GAMES;VVD (VIVID);1;0.6000;0.0020;0.33;109;65.30
2026-09-03;09:01:00;VIVID-GAMES;VVD (VIVID);2;0.6200;0.0130;2.14;200;123.59
2026-09-03;09:02:00;VIVID-GAMES;VVD (VIVID);3;0.6200;0.0000;0.00;600;372.00
2026-09-03;09:09:00;VIVID-GAMES;VVD (VIVID);4;0.6200;0.0000;0.00;720;446.40
2026-09-03;10:14:00;VIVID-GAMES;VVD (VIVID);5;0.6190;0.0000;0.00;10;6.19
2026-09-03;10:34:00;VIVID-GAMES;VVD (VIVID);6;0.6190;0.0010;0.16;190;117.51
2026-09-03;10:36:00;VIVID-GAMES;VVD (VIVID);7;0.6190;0.0000;0.00;635;393.06
2026-09-03;10:43:00;VIVID-GAMES;VVD (VIVID);8;0.6190;0.0010;0.16;2000;1236.00
2026-09-03;11:18:00;VIVID-GAMES;VVD (VIVID);9;0.6190;0.0000;0.00;2100;1299.90
2026-09-03;11:31:00;VIVID-GAMES;VVD (VIVID);10;0.5960;0.0000;0.00;1611;960.16
2026-09-03;12:14:00;VIVID-GAMES;VVD (VIVID);11;0.6000;0.0000;0.00;20;12.00
2026-09-03;12:35:00;VIVID-GAMES;VVD (VIVID);12;0.6180;0.0220;3.69;305;182.00
2026-09-03;13:25:00;VIVID-GAMES;VVD (VIVID);13;0.6160;0.0010;0.16;100;61.54
2026-09-03;15:01:00;VIVID-GAMES;VVD (VIVID);14;0.6160;0.0000;0.00;200;123.20
2026-09-03;16:33:00;VIVID-GAMES;VVD (VIVID);15;0.6140;0.0000;0.00;174;106.84
2026-09-03;16:40:00;VIVID-GAMES;VVD (VIVID);16;0.6000;0.0000;0.00;2;1.20
2026-09-03;17:00:00;VIVID-GAMES;VVD (VIVID);17;0.6000;0.0000;0.00;5098;3058.80
