Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;VOTUM;VOT (VOTUM);1;44.7500;-0.2500;-0.56;167;7514.75
2026-07-31;09:01:00;VOTUM;VOT (VOTUM);2;44.1000;-0.6500;-1.45;232;10278.40
2026-07-31;09:03:00;VOTUM;VOT (VOTUM);3;44.6000;0.0000;0.00;1;44.60
2026-07-31;09:20:00;VOTUM;VOT (VOTUM);4;44.2500;-0.5000;-1.12;12;531.50
2026-07-31;09:24:00;VOTUM;VOT (VOTUM);5;44.5000;-0.0500;-0.11;11;489.80
2026-07-31;09:25:00;VOTUM;VOT (VOTUM);6;44.5000;0.0000;0.00;35;1557.50
2026-07-31;09:26:00;VOTUM;VOT (VOTUM);7;44.8500;0.0000;0.00;50;2242.50
2026-07-31;09:28:00;VOTUM;VOT (VOTUM);8;44.5500;0.0000;0.00;7;311.85
2026-07-31;09:43:00;VOTUM;VOT (VOTUM);9;44.7000;0.0000;0.00;1;44.70
2026-07-31;09:44:00;VOTUM;VOT (VOTUM);10;44.7000;0.0000;0.00;70;3129.00
2026-07-31;09:45:00;VOTUM;VOT (VOTUM);11;44.9500;0.0000;0.00;2;89.90
2026-07-31;09:54:00;VOTUM;VOT (VOTUM);12;44.6500;-0.0500;-0.11;125;5581.60
2026-07-31;10:06:00;VOTUM;VOT (VOTUM);13;44.9000;0.2500;0.56;26;1161.15
2026-07-31;10:08:00;VOTUM;VOT (VOTUM);14;44.6000;-0.0500;-0.11;39;1740.55
2026-07-31;10:10:00;VOTUM;VOT (VOTUM);15;44.8500;0.0000;0.00;5;224.25
2026-07-31;10:25:00;VOTUM;VOT (VOTUM);16;44.6500;0.0000;0.00;3;133.95
2026-07-31;10:26:00;VOTUM;VOT (VOTUM);17;44.6500;0.0000;0.00;50;2232.50
2026-07-31;10:27:00;VOTUM;VOT (VOTUM);18;44.6500;0.0000;0.00;200;8930.00
2026-07-31;10:30:00;VOTUM;VOT (VOTUM);19;44.6000;0.0000;0.00;270;12042.00
2026-07-31;10:31:00;VOTUM;VOT (VOTUM);20;44.6000;0.0000;0.00;219;9767.40
2026-07-31;10:34:00;VOTUM;VOT (VOTUM);21;44.8000;0.0000;0.00;22;985.60
2026-07-31;10:40:00;VOTUM;VOT (VOTUM);22;44.8500;0.0000;0.00;1;44.85
2026-07-31;10:46:00;VOTUM;VOT (VOTUM);23;44.8000;0.0000;0.00;5;224.00
2026-07-31;10:47:00;VOTUM;VOT (VOTUM);24;44.8500;0.0000;0.00;11;493.35
2026-07-31;11:07:00;VOTUM;VOT (VOTUM);25;44.8500;0.0000;0.00;1;44.85
2026-07-31;11:32:00;VOTUM;VOT (VOTUM);26;44.8500;0.0000;0.00;45;2018.25
2026-07-31;11:52:00;VOTUM;VOT (VOTUM);27;44.9000;0.0000;0.00;1;44.90
2026-07-31;11:59:00;VOTUM;VOT (VOTUM);28;44.9000;0.0000;0.00;22;987.80
2026-07-31;12:00:00;VOTUM;VOT (VOTUM);29;44.8500;0.0000;0.00;5;224.25
2026-07-31;12:04:00;VOTUM;VOT (VOTUM);30;44.9000;0.0000;0.00;59;2649.10
2026-07-31;12:32:00;VOTUM;VOT (VOTUM);31;44.9000;0.0000;0.00;1;44.90
2026-07-31;12:44:00;VOTUM;VOT (VOTUM);32;44.8500;0.0000;0.00;1;44.85
2026-07-31;12:55:00;VOTUM;VOT (VOTUM);33;44.8500;0.0000;0.00;3;134.55
2026-07-31;12:59:00;VOTUM;VOT (VOTUM);34;45.0000;0.1000;0.22;223;10018.70
2026-07-31;13:07:00;VOTUM;VOT (VOTUM);35;44.9500;0.0000;0.00;30;1348.50
2026-07-31;13:08:00;VOTUM;VOT (VOTUM);36;44.8000;0.0000;0.00;20;896.00
2026-07-31;13:16:00;VOTUM;VOT (VOTUM);37;45.0000;0.0000;0.00;3;135.00
2026-07-31;13:19:00;VOTUM;VOT (VOTUM);38;44.7000;-0.0500;-0.11;41;1833.60
2026-07-31;13:39:00;VOTUM;VOT (VOTUM);39;44.7000;0.0000;0.00;1;44.70
2026-07-31;14:28:00;VOTUM;VOT (VOTUM);40;44.9000;0.0000;0.00;5;224.50
2026-07-31;14:37:00;VOTUM;VOT (VOTUM);41;44.9000;0.0000;0.00;45;2020.50
2026-07-31;15:14:00;VOTUM;VOT (VOTUM);42;44.7000;-0.2000;-0.45;8;358.10
2026-07-31;15:56:00;VOTUM;VOT (VOTUM);43;44.8500;0.0000;0.00;2;89.70
2026-07-31;16:17:00;VOTUM;VOT (VOTUM);44;44.9000;0.0000;0.00;1;44.90
2026-07-31;16:40:00;VOTUM;VOT (VOTUM);45;44.9000;0.0000;0.00;20;898.00
2026-07-31;16:45:00;VOTUM;VOT (VOTUM);46;44.9000;0.0000;0.00;10;449.00
2026-07-31;16:47:00;VOTUM;VOT (VOTUM);47;44.7000;0.0000;0.00;159;7107.30
2026-07-31;17:00:00;VOTUM;VOT (VOTUM);48;44.9000;0.0000;0.00;6;269.40
