Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-24;09:00:00;VOXEL;VOX (VOXEL);1;144.2000;-1.8000;-1.23;70;10144.80
2026-09-24;09:01:00;VOXEL;VOX (VOXEL);2;144.0000;0.0000;0.00;15;2160.00
2026-09-24;09:02:00;VOXEL;VOX (VOXEL);3;144.2000;0.0000;0.00;46;6633.20
2026-09-24;09:04:00;VOXEL;VOX (VOXEL);4;144.4000;0.0000;0.00;9;1299.60
2026-09-24;09:07:00;VOXEL;VOX (VOXEL);5;144.6000;0.0000;0.00;3;433.80
2026-09-24;09:08:00;VOXEL;VOX (VOXEL);6;144.4000;-0.2000;-0.14;3;433.60
2026-09-24;09:16:00;VOXEL;VOX (VOXEL);7;144.2000;-0.2000;-0.14;50;7215.60
2026-09-24;09:31:00;VOXEL;VOX (VOXEL);8;144.8000;0.0000;0.00;15;2172.00
2026-09-24;09:33:00;VOXEL;VOX (VOXEL);9;145.0000;0.0000;0.00;19;2755.00
2026-09-24;09:36:00;VOXEL;VOX (VOXEL);10;144.4000;-0.2000;-0.14;53;7663.20
2026-09-24;09:55:00;VOXEL;VOX (VOXEL);11;145.0000;0.0000;0.00;11;1595.00
2026-09-24;09:56:00;VOXEL;VOX (VOXEL);12;145.2000;0.2000;0.14;71;10295.40
2026-09-24;10:06:00;VOXEL;VOX (VOXEL);13;145.4000;0.0000;0.00;6;872.40
2026-09-24;10:12:00;VOXEL;VOX (VOXEL);14;144.4000;0.0000;0.00;70;10108.00
2026-09-24;10:13:00;VOXEL;VOX (VOXEL);15;144.8000;0.0000;0.00;2;289.60
2026-09-24;10:15:00;VOXEL;VOX (VOXEL);16;144.8000;0.0000;0.00;3;434.40
2026-09-24;10:21:00;VOXEL;VOX (VOXEL);17;144.8000;0.0000;0.00;1;144.80
2026-09-24;10:23:00;VOXEL;VOX (VOXEL);18;144.8000;0.0000;0.00;9;1303.20
2026-09-24;10:37:00;VOXEL;VOX (VOXEL);19;144.0000;0.0000;0.00;210;30240.00
2026-09-24;10:39:00;VOXEL;VOX (VOXEL);20;144.0000;0.0000;0.00;2;288.00
2026-09-24;10:42:00;VOXEL;VOX (VOXEL);21;143.6000;-0.6000;-0.42;61;8796.20
2026-09-24;10:49:00;VOXEL;VOX (VOXEL);22;143.2000;-0.2000;-0.14;31;4445.20
2026-09-24;10:50:00;VOXEL;VOX (VOXEL);23;143.4000;0.0000;0.00;1;143.40
2026-09-24;10:52:00;VOXEL;VOX (VOXEL);24;143.4000;0.0000;0.00;7;1003.80
2026-09-24;11:07:00;VOXEL;VOX (VOXEL);25;143.4000;0.0000;0.00;6;860.40
2026-09-24;11:21:00;VOXEL;VOX (VOXEL);26;144.0000;0.0000;0.00;10;1440.00
2026-09-24;11:23:00;VOXEL;VOX (VOXEL);27;143.4000;-0.2000;-0.14;36;5166.00
2026-09-24;11:30:00;VOXEL;VOX (VOXEL);28;143.2000;0.0000;0.00;5;716.00
2026-09-24;11:31:00;VOXEL;VOX (VOXEL);29;143.2000;0.0000;0.00;30;4296.00
2026-09-24;11:32:00;VOXEL;VOX (VOXEL);30;143.0000;-0.2000;-0.14;45;6443.40
2026-09-24;11:33:00;VOXEL;VOX (VOXEL);31;143.2000;0.0000;0.00;37;5298.40
2026-09-24;11:34:00;VOXEL;VOX (VOXEL);32;143.6000;0.0000;0.00;10;1436.00
2026-09-24;11:35:00;VOXEL;VOX (VOXEL);33;144.0000;0.2000;0.14;100;14397.20
2026-09-24;11:37:00;VOXEL;VOX (VOXEL);34;143.6000;0.0000;0.00;22;3159.20
2026-09-24;12:02:00;VOXEL;VOX (VOXEL);35;143.8000;0.0000;0.00;20;2876.00
2026-09-24;12:13:00;VOXEL;VOX (VOXEL);36;144.0000;0.4000;0.28;23;3303.20
2026-09-24;12:44:00;VOXEL;VOX (VOXEL);37;143.2000;0.0000;0.00;50;7160.00
2026-09-24;12:52:00;VOXEL;VOX (VOXEL);38;143.0000;-0.4000;-0.28;80;11457.80
2026-09-24;13:02:00;VOXEL;VOX (VOXEL);39;143.6000;0.0000;0.00;45;6462.00
2026-09-24;13:09:00;VOXEL;VOX (VOXEL);40;143.8000;0.0000;0.00;30;4314.00
2026-09-24;13:12:00;VOXEL;VOX (VOXEL);41;143.4000;0.0000;0.00;10;1434.00
2026-09-24;13:14:00;VOXEL;VOX (VOXEL);42;144.0000;0.0000;0.00;27;3888.00
2026-09-24;13:23:00;VOXEL;VOX (VOXEL);43;144.4000;0.0000;0.00;1;144.40
2026-09-24;13:28:00;VOXEL;VOX (VOXEL);44;144.4000;0.0000;0.00;17;2454.80
2026-09-24;13:34:00;VOXEL;VOX (VOXEL);45;144.0000;0.0000;0.00;8;1152.00
2026-09-24;13:40:00;VOXEL;VOX (VOXEL);46;144.4000;0.0000;0.00;63;9097.20
2026-09-24;13:51:00;VOXEL;VOX (VOXEL);47;143.6000;0.0000;0.00;4;574.40
2026-09-24;14:12:00;VOXEL;VOX (VOXEL);48;143.8000;0.2000;0.14;95;13646.40
