Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;VRC;VRC (VERCOM);1;127.0000;0.0000;0.00;164;20828.00
2026-07-15;09:02:00;VRC;VRC (VERCOM);2;127.0000;0.0000;0.00;1;127.00
2026-07-15;09:04:00;VRC;VRC (VERCOM);3;127.0000;0.2000;0.16;45;5707.40
2026-07-15;09:05:00;VRC;VRC (VERCOM);4;127.0000;0.0000;0.00;2;254.00
2026-07-15;09:06:00;VRC;VRC (VERCOM);5;126.8000;0.2000;0.16;286;36133.40
2026-07-15;09:08:00;VRC;VRC (VERCOM);6;126.4000;0.0000;0.00;2;252.80
2026-07-15;09:09:00;VRC;VRC (VERCOM);7;126.8000;0.4000;0.32;9;1138.00
2026-07-15;09:10:00;VRC;VRC (VERCOM);8;126.4000;0.0000;0.00;97;12264.00
2026-07-15;09:11:00;VRC;VRC (VERCOM);9;126.0000;-0.6000;-0.47;88;11135.40
2026-07-15;09:12:00;VRC;VRC (VERCOM);10;126.6000;0.0000;0.00;8;1012.80
2026-07-15;09:13:00;VRC;VRC (VERCOM);11;126.6000;0.0000;0.00;21;2658.60
2026-07-15;09:14:00;VRC;VRC (VERCOM);12;126.6000;0.0000;0.00;9;1139.40
2026-07-15;09:15:00;VRC;VRC (VERCOM);13;126.6000;0.0000;0.00;5;633.00
2026-07-15;09:16:00;VRC;VRC (VERCOM);14;126.6000;0.0000;0.00;2;253.20
2026-07-15;09:17:00;VRC;VRC (VERCOM);15;126.2000;0.0000;0.00;2;252.40
2026-07-15;09:19:00;VRC;VRC (VERCOM);16;126.2000;-0.2000;-0.16;34;4292.60
2026-07-15;09:20:00;VRC;VRC (VERCOM);17;126.4000;0.0000;0.00;83;10491.20
2026-07-15;09:21:00;VRC;VRC (VERCOM);18;126.6000;0.4000;0.32;3;379.00
2026-07-15;09:23:00;VRC;VRC (VERCOM);19;126.0000;-0.2000;-0.16;346;43598.20
2026-07-15;09:24:00;VRC;VRC (VERCOM);20;126.4000;-0.2000;-0.16;42;5314.00
2026-07-15;09:25:00;VRC;VRC (VERCOM);21;126.0000;0.2000;0.16;203;25576.00
2026-07-15;09:27:00;VRC;VRC (VERCOM);22;126.6000;0.0000;0.00;1;126.60
2026-07-15;09:29:00;VRC;VRC (VERCOM);23;126.6000;0.0000;0.00;2;253.20
2026-07-15;09:30:00;VRC;VRC (VERCOM);24;126.0000;0.0000;0.00;2;252.00
2026-07-15;09:32:00;VRC;VRC (VERCOM);25;126.0000;0.0000;0.00;2;252.00
2026-07-15;09:33:00;VRC;VRC (VERCOM);26;126.0000;-0.6000;-0.47;22;2782.80
2026-07-15;09:34:00;VRC;VRC (VERCOM);27;126.8000;0.8000;0.63;59;7477.20
2026-07-15;09:35:00;VRC;VRC (VERCOM);28;126.8000;0.0000;0.00;2;253.60
2026-07-15;09:36:00;VRC;VRC (VERCOM);29;126.2000;0.0000;0.00;66;8329.20
2026-07-15;09:37:00;VRC;VRC (VERCOM);30;126.2000;0.0000;0.00;3;378.60
2026-07-15;09:38:00;VRC;VRC (VERCOM);31;126.2000;0.0000;0.00;8;1009.60
2026-07-15;09:40:00;VRC;VRC (VERCOM);32;126.0000;0.0000;0.00;6;756.00
2026-07-15;09:41:00;VRC;VRC (VERCOM);33;126.4000;0.0000;0.00;7;884.80
2026-07-15;09:44:00;VRC;VRC (VERCOM);34;126.6000;0.0000;0.00;1;126.60
2026-07-15;09:46:00;VRC;VRC (VERCOM);35;126.6000;0.0000;0.00;4;506.40
2026-07-15;09:48:00;VRC;VRC (VERCOM);36;126.0000;-0.6000;-0.47;11;1386.60
2026-07-15;09:49:00;VRC;VRC (VERCOM);37;126.0000;0.0000;0.00;10;1260.00
2026-07-15;09:50:00;VRC;VRC (VERCOM);38;126.6000;0.0000;0.00;9;1137.00
2026-07-15;09:51:00;VRC;VRC (VERCOM);39;126.6000;0.0000;0.00;14;1772.40
2026-07-15;09:53:00;VRC;VRC (VERCOM);40;126.6000;0.0000;0.00;1;126.60
2026-07-15;09:54:00;VRC;VRC (VERCOM);41;126.6000;0.0000;0.00;12;1519.20
2026-07-15;09:58:00;VRC;VRC (VERCOM);42;126.6000;0.0000;0.00;8;1012.80
2026-07-15;09:59:00;VRC;VRC (VERCOM);43;126.6000;0.0000;0.00;8;1012.80
2026-07-15;10:01:00;VRC;VRC (VERCOM);44;126.2000;-0.4000;-0.32;4;505.60
2026-07-15;10:02:00;VRC;VRC (VERCOM);45;126.6000;0.0000;0.00;3;379.80
2026-07-15;10:03:00;VRC;VRC (VERCOM);46;126.6000;0.0000;0.00;1;126.60
2026-07-15;10:04:00;VRC;VRC (VERCOM);47;126.6000;0.0000;0.00;31;3924.60
2026-07-15;10:05:00;VRC;VRC (VERCOM);48;126.6000;0.0000;0.00;58;7342.80
2026-07-15;10:06:00;VRC;VRC (VERCOM);49;126.6000;0.0000;0.00;58;7342.80
2026-07-15;10:08:00;VRC;VRC (VERCOM);50;126.2000;-0.2000;-0.16;88;11111.80
2026-07-15;10:09:00;VRC;VRC (VERCOM);51;125.8000;-0.8000;-0.63;117;14741.80
2026-07-15;10:10:00;VRC;VRC (VERCOM);52;126.6000;0.0000;0.00;13;1645.80
2026-07-15;10:13:00;VRC;VRC (VERCOM);53;126.6000;0.0000;0.00;10;1266.00
2026-07-15;10:17:00;VRC;VRC (VERCOM);54;126.6000;0.0000;0.00;24;3038.40
2026-07-15;10:18:00;VRC;VRC (VERCOM);55;126.6000;0.0000;0.00;11;1392.60
