Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-01;09:00:00;VRG;VRG;1;5.3800;0.1000;1.89;7145;37726.00
2026-09-01;09:01:00;VRG;VRG;2;5.2800;0.0000;0.00;178;939.84
2026-09-01;09:02:00;VRG;VRG;3;5.2800;0.0000;0.00;2581;13627.68
2026-09-01;09:03:00;VRG;VRG;4;5.2600;0.0000;0.00;3325;17489.50
2026-09-01;09:04:00;VRG;VRG;5;5.2400;-0.0200;-0.38;218;1144.78
2026-09-01;09:05:00;VRG;VRG;6;5.2400;0.0000;0.00;4077;21363.48
2026-09-01;09:06:00;VRG;VRG;7;5.3600;0.0000;0.00;2;10.72
2026-09-01;09:19:00;VRG;VRG;8;5.3400;0.0000;0.00;3;16.02
2026-09-01;09:21:00;VRG;VRG;9;5.2400;0.0000;0.00;800;4192.00
2026-09-01;09:25:00;VRG;VRG;10;5.3400;0.0000;0.00;4;21.36
2026-09-01;09:32:00;VRG;VRG;11;5.3400;0.0000;0.00;4;21.36
2026-09-01;10:04:00;VRG;VRG;12;5.2600;-0.0200;-0.38;1000;5260.56
2026-09-01;10:05:00;VRG;VRG;13;5.2600;-0.0200;-0.38;1300;6858.00
2026-09-01;10:14:00;VRG;VRG;14;5.2600;0.0000;0.00;3000;15780.00
2026-09-01;10:15:00;VRG;VRG;15;5.3000;0.0200;0.38;500;2644.56
2026-09-01;10:18:00;VRG;VRG;16;5.3000;0.0000;0.00;10;53.00
2026-09-01;10:35:00;VRG;VRG;17;5.3000;0.0000;0.00;962;5098.60
2026-09-01;10:36:00;VRG;VRG;18;5.3000;0.0000;0.00;2557;13552.10
2026-09-01;10:47:00;VRG;VRG;19;5.2800;0.0000;0.00;1220;6441.60
2026-09-01;10:53:00;VRG;VRG;20;5.2400;-0.0200;-0.38;2673;14056.68
2026-09-01;10:54:00;VRG;VRG;21;5.2400;0.0000;0.00;1025;5371.00
2026-09-01;11:08:00;VRG;VRG;22;5.2600;0.0000;0.00;10;52.60
2026-09-01;11:12:00;VRG;VRG;23;5.2600;0.0000;0.00;2;10.52
2026-09-01;11:17:00;VRG;VRG;24;5.2600;0.0000;0.00;968;5091.68
2026-09-01;11:24:00;VRG;VRG;25;5.2400;0.0000;0.00;100;524.00
2026-09-01;11:27:00;VRG;VRG;26;5.2800;0.0200;0.38;2571;13570.56
2026-09-01;11:34:00;VRG;VRG;27;5.2400;0.0000;0.00;9;47.16
2026-09-01;11:41:00;VRG;VRG;28;5.2400;0.0000;0.00;650;3406.00
2026-09-01;11:53:00;VRG;VRG;29;5.2400;0.0000;0.00;4320;22636.80
2026-09-01;11:57:00;VRG;VRG;30;5.2800;0.0000;0.00;11;58.08
2026-09-01;12:38:00;VRG;VRG;31;5.2800;0.0000;0.00;93;491.04
2026-09-01;12:52:00;VRG;VRG;32;5.2800;0.0000;0.00;3;15.84
2026-09-01;13:04:00;VRG;VRG;33;5.2600;0.0000;0.00;444;2335.44
2026-09-01;13:05:00;VRG;VRG;34;5.2600;0.0000;0.00;140;736.40
2026-09-01;13:06:00;VRG;VRG;35;5.2600;0.0000;0.00;4416;23228.16
2026-09-01;13:11:00;VRG;VRG;36;5.2600;0.0000;0.00;57;299.82
2026-09-01;13:14:00;VRG;VRG;37;5.2400;0.0000;0.00;174;911.76
2026-09-01;13:26:00;VRG;VRG;38;5.2600;0.0000;0.00;5;26.30
2026-09-01;13:38:00;VRG;VRG;39;5.2600;0.0000;0.00;5;26.30
2026-09-01;13:57:00;VRG;VRG;40;5.2600;0.0000;0.00;5;26.30
2026-09-01;14:22:00;VRG;VRG;41;5.2600;0.0000;0.00;100;526.00
2026-09-01;14:41:00;VRG;VRG;42;5.2400;0.0000;0.00;700;3668.00
2026-09-01;14:55:00;VRG;VRG;43;5.2400;0.0000;0.00;668;3500.32
2026-09-01;15:35:00;VRG;VRG;44;5.2400;0.0000;0.00;2000;10480.00
2026-09-01;16:05:00;VRG;VRG;45;5.2600;0.0000;0.00;12463;65555.38
2026-09-01;16:08:00;VRG;VRG;46;5.2800;0.0000;0.00;6;31.68
2026-09-01;16:12:00;VRG;VRG;47;5.3000;0.0200;0.38;4318;22828.76
2026-09-01;16:25:00;VRG;VRG;48;5.3400;0.0000;0.00;969;5174.46
2026-09-01;16:28:00;VRG;VRG;49;5.3400;0.0000;0.00;300;1602.00
2026-09-01;16:39:00;VRG;VRG;50;5.3400;0.0000;0.00;2000;10680.00
2026-09-01;16:40:00;VRG;VRG;51;5.3400;0.0000;0.00;2;10.68
2026-09-01;16:41:00;VRG;VRG;52;5.3800;0.0200;0.37;350;1882.58
2026-09-01;17:00:00;VRG;VRG;53;5.4400;0.0000;0.00;111;603.84
