Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:19:00;WARIMPEX;WXF (WARIMPEX);1;2.2000;0.0000;0.00;100;220.00
2026-08-07;09:39:00;WARIMPEX;WXF (WARIMPEX);2;2.2000;0.0000;0.00;85;187.00
2026-08-07;10:03:00;WARIMPEX;WXF (WARIMPEX);3;2.2000;0.0000;0.00;400;880.00
2026-08-07;10:04:00;WARIMPEX;WXF (WARIMPEX);4;2.2000;0.0000;0.00;300;660.00
2026-08-07;10:05:00;WARIMPEX;WXF (WARIMPEX);5;2.2000;0.0000;0.00;160;352.00
2026-08-07;10:06:00;WARIMPEX;WXF (WARIMPEX);6;2.2000;0.0000;0.00;140;308.00
2026-08-07;10:17:00;WARIMPEX;WXF (WARIMPEX);7;2.2200;0.0000;0.00;20;44.40
2026-08-07;10:21:00;WARIMPEX;WXF (WARIMPEX);8;2.2200;0.0000;0.00;40;88.80
2026-08-07;11:03:00;WARIMPEX;WXF (WARIMPEX);9;2.2000;0.0000;0.00;40;88.00
2026-08-07;16:02:00;WARIMPEX;WXF (WARIMPEX);10;2.2000;0.0000;0.00;1;2.20
