Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-21;09:00:00;WASKO;WAS (WASKO);1;5.9600;0.0000;0.00;159;947.64
2026-07-21;09:01:00;WASKO;WAS (WASKO);2;6.0400;0.0000;0.00;10;60.40
2026-07-21;09:02:00;WASKO;WAS (WASKO);3;5.9600;0.0000;0.00;380;2264.80
2026-07-21;09:13:00;WASKO;WAS (WASKO);4;5.9600;0.0200;0.34;4;23.80
2026-07-21;09:15:00;WASKO;WAS (WASKO);5;6.0200;0.0600;1.01;688;4101.28
2026-07-21;09:16:00;WASKO;WAS (WASKO);6;6.0200;0.0000;0.00;13;78.26
2026-07-21;09:20:00;WASKO;WAS (WASKO);7;6.0400;0.0400;0.67;65;390.04
2026-07-21;09:21:00;WASKO;WAS (WASKO);8;6.0400;0.0000;0.00;5;30.20
2026-07-21;09:24:00;WASKO;WAS (WASKO);9;5.9000;-0.0400;-0.67;2765;16351.24
2026-07-21;09:25:00;WASKO;WAS (WASKO);10;6.0000;0.0000;0.00;5;30.00
2026-07-21;09:28:00;WASKO;WAS (WASKO);11;5.9200;-0.0200;-0.34;107;635.94
2026-07-21;09:29:00;WASKO;WAS (WASKO);12;5.9000;-0.1000;-1.67;28;165.90
2026-07-21;09:36:00;WASKO;WAS (WASKO);13;5.9800;0.0000;0.00;197;1178.06
2026-07-21;09:38:00;WASKO;WAS (WASKO);14;6.0000;0.0000;0.00;100;600.00
2026-07-21;09:39:00;WASKO;WAS (WASKO);15;5.9800;0.0000;0.00;1;5.98
2026-07-21;09:44:00;WASKO;WAS (WASKO);16;5.9800;0.0000;0.00;1;5.98
2026-07-21;09:46:00;WASKO;WAS (WASKO);17;6.0000;0.0000;0.00;5;30.00
2026-07-21;09:47:00;WASKO;WAS (WASKO);18;6.0000;0.0000;0.00;8;48.00
2026-07-21;09:57:00;WASKO;WAS (WASKO);19;6.0000;0.0000;0.00;750;4500.00
2026-07-21;09:58:00;WASKO;WAS (WASKO);20;5.9800;0.0000;0.00;5;29.90
2026-07-21;10:02:00;WASKO;WAS (WASKO);21;5.9800;0.0000;0.00;2;11.96
2026-07-21;10:04:00;WASKO;WAS (WASKO);22;5.9800;0.0000;0.00;2;11.96
2026-07-21;10:15:00;WASKO;WAS (WASKO);23;5.9000;-0.0600;-1.01;60;354.36
2026-07-21;10:27:00;WASKO;WAS (WASKO);24;5.9000;0.0000;0.00;200;1180.00
2026-07-21;10:29:00;WASKO;WAS (WASKO);25;5.9800;0.0600;1.01;1100;6572.00
2026-07-21;10:36:00;WASKO;WAS (WASKO);26;6.0000;0.0800;1.35;55;329.76
2026-07-21;11:22:00;WASKO;WAS (WASKO);27;5.9200;0.0000;0.00;117;692.64
2026-07-21;11:24:00;WASKO;WAS (WASKO);28;5.9200;0.0000;0.00;83;491.36
2026-07-21;11:33:00;WASKO;WAS (WASKO);29;5.9800;0.0000;0.00;5;29.90
2026-07-21;11:36:00;WASKO;WAS (WASKO);30;5.9800;0.0000;0.00;501;2995.98
2026-07-21;11:53:00;WASKO;WAS (WASKO);31;5.9800;0.0000;0.00;7;41.86
2026-07-21;11:58:00;WASKO;WAS (WASKO);32;5.9800;0.0000;0.00;4;23.92
2026-07-21;12:04:00;WASKO;WAS (WASKO);33;5.9800;0.0000;0.00;50;299.00
2026-07-21;12:06:00;WASKO;WAS (WASKO);34;5.9600;0.0000;0.00;1;5.96
2026-07-21;12:08:00;WASKO;WAS (WASKO);35;5.9800;0.0000;0.00;15;89.70
2026-07-21;12:20:00;WASKO;WAS (WASKO);36;5.9800;0.0000;0.00;3;17.94
2026-07-21;12:35:00;WASKO;WAS (WASKO);37;5.9600;0.0000;0.00;19;113.24
2026-07-21;12:38:00;WASKO;WAS (WASKO);38;5.9200;0.0000;0.00;1530;9057.60
2026-07-21;12:46:00;WASKO;WAS (WASKO);39;5.9200;0.0000;0.00;50;296.00
2026-07-21;12:47:00;WASKO;WAS (WASKO);40;5.9200;0.0000;0.00;50;296.00
2026-07-21;13:19:00;WASKO;WAS (WASKO);41;5.9400;0.0000;0.00;5;29.70
2026-07-21;13:31:00;WASKO;WAS (WASKO);42;5.9400;0.0000;0.00;2;11.88
2026-07-21;13:54:00;WASKO;WAS (WASKO);43;5.9200;0.0000;0.00;345;2042.40
2026-07-21;14:11:00;WASKO;WAS (WASKO);44;5.9800;0.0400;0.67;8;47.72
2026-07-21;14:14:00;WASKO;WAS (WASKO);45;5.9400;-0.0200;-0.34;3;17.86
2026-07-21;14:15:00;WASKO;WAS (WASKO);46;5.9400;0.0000;0.00;2;11.88
2026-07-21;14:20:00;WASKO;WAS (WASKO);47;5.9200;0.0000;0.00;200;1184.00
2026-07-21;14:25:00;WASKO;WAS (WASKO);48;5.9200;0.0000;0.00;52;307.84
2026-07-21;14:27:00;WASKO;WAS (WASKO);49;5.9000;0.0000;0.00;2509;14803.10
2026-07-21;14:28:00;WASKO;WAS (WASKO);50;5.8600;0.0000;0.00;503;2947.58
