Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-10;09:01:00;WAWEL;WWL (WAWEL);1;708.0000;2.0000;0.28;4;2826.00
2026-09-10;09:05:00;WAWEL;WWL (WAWEL);2;702.0000;0.0000;0.00;1;702.00
2026-09-10;09:12:00;WAWEL;WWL (WAWEL);3;702.0000;0.0000;0.00;1;702.00
2026-09-10;09:16:00;WAWEL;WWL (WAWEL);4;702.0000;0.0000;0.00;2;1404.00
2026-09-10;09:21:00;WAWEL;WWL (WAWEL);5;702.0000;0.0000;0.00;1;702.00
2026-09-10;09:52:00;WAWEL;WWL (WAWEL);6;702.0000;0.0000;0.00;2;1404.00
2026-09-10;09:54:00;WAWEL;WWL (WAWEL);7;702.0000;0.0000;0.00;11;7722.00
2026-09-10;10:11:00;WAWEL;WWL (WAWEL);8;702.0000;0.0000;0.00;6;4212.00
2026-09-10;14:48:00;WAWEL;WWL (WAWEL);9;708.0000;0.0000;0.00;1;708.00
2026-09-10;15:36:00;WAWEL;WWL (WAWEL);10;704.0000;0.0000;0.00;1;704.00
2026-09-10;15:48:00;WAWEL;WWL (WAWEL);11;704.0000;0.0000;0.00;2;1408.00
2026-09-10;16:27:00;WAWEL;WWL (WAWEL);12;706.0000;0.0000;0.00;1;706.00
2026-09-10;16:28:00;WAWEL;WWL (WAWEL);13;708.0000;0.0000;0.00;2;1416.00
