Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;WIELTON;WLT (WIELTON);1;5.3400;0.0000;0.00;83;443.22
2026-07-15;09:03:00;WIELTON;WLT (WIELTON);2;5.3200;0.0000;0.00;20;106.40
2026-07-15;09:04:00;WIELTON;WLT (WIELTON);3;5.3100;0.0000;0.00;245;1300.95
2026-07-15;09:06:00;WIELTON;WLT (WIELTON);4;5.3000;0.0000;0.00;2;10.60
2026-07-15;09:08:00;WIELTON;WLT (WIELTON);5;5.3000;0.0000;0.00;13;68.90
2026-07-15;09:11:00;WIELTON;WLT (WIELTON);6;5.3100;0.0000;0.00;99;525.69
2026-07-15;09:28:00;WIELTON;WLT (WIELTON);7;5.3400;0.0000;0.00;3;16.02
2026-07-15;09:29:00;WIELTON;WLT (WIELTON);8;5.3400;0.0000;0.00;200;1068.00
2026-07-15;09:35:00;WIELTON;WLT (WIELTON);9;5.3100;-0.0100;-0.19;36;191.31
2026-07-15;09:56:00;WIELTON;WLT (WIELTON);10;5.3300;0.0000;0.00;1;5.33
2026-07-15;09:58:00;WIELTON;WLT (WIELTON);11;5.3400;0.0100;0.19;10;53.31
2026-07-15;09:59:00;WIELTON;WLT (WIELTON);12;5.2000;-0.1200;-2.26;4000;20987.01
2026-07-15;10:09:00;WIELTON;WLT (WIELTON);13;5.2600;0.0000;0.00;34;178.84
2026-07-15;10:10:00;WIELTON;WLT (WIELTON);14;5.2600;0.0000;0.00;366;1925.16
2026-07-15;10:11:00;WIELTON;WLT (WIELTON);15;5.3000;0.0000;0.00;10;53.00
2026-07-15;10:14:00;WIELTON;WLT (WIELTON);16;5.2200;-0.0300;-0.57;36;188.32
2026-07-15;10:30:00;WIELTON;WLT (WIELTON);17;5.3000;0.0000;0.00;10;53.00
2026-07-15;10:33:00;WIELTON;WLT (WIELTON);18;5.2000;-0.0500;-0.95;3190;16628.51
2026-07-15;10:34:00;WIELTON;WLT (WIELTON);19;5.2000;-0.0100;-0.19;3000;15600.10
2026-07-15;10:49:00;WIELTON;WLT (WIELTON);20;5.2900;0.0000;0.00;1;5.29
2026-07-15;10:53:00;WIELTON;WLT (WIELTON);21;5.2200;-0.0100;-0.19;127;663.06
2026-07-15;11:08:00;WIELTON;WLT (WIELTON);22;5.2900;0.0000;0.00;50;264.50
2026-07-15;11:09:00;WIELTON;WLT (WIELTON);23;5.2400;0.0000;0.00;10;52.40
2026-07-15;11:12:00;WIELTON;WLT (WIELTON);24;5.2400;0.0000;0.00;755;3956.20
2026-07-15;11:18:00;WIELTON;WLT (WIELTON);25;5.2900;0.0200;0.38;800;4219.18
2026-07-15;11:31:00;WIELTON;WLT (WIELTON);26;5.2900;0.0000;0.00;25;132.25
2026-07-15;11:35:00;WIELTON;WLT (WIELTON);27;5.2900;0.0000;0.00;20;105.80
2026-07-15;11:46:00;WIELTON;WLT (WIELTON);28;5.2900;0.0000;0.00;2;10.58
2026-07-15;11:54:00;WIELTON;WLT (WIELTON);29;5.2400;0.0000;0.00;10;52.40
2026-07-15;11:58:00;WIELTON;WLT (WIELTON);30;5.2900;0.0000;0.00;400;2116.00
2026-07-15;12:11:00;WIELTON;WLT (WIELTON);31;5.3000;0.0000;0.00;10;53.00
2026-07-15;12:13:00;WIELTON;WLT (WIELTON);32;5.3000;0.0000;0.00;2;10.60
2026-07-15;12:20:00;WIELTON;WLT (WIELTON);33;5.2300;-0.0100;-0.19;27;141.36
2026-07-15;12:55:00;WIELTON;WLT (WIELTON);34;5.2900;0.0000;0.00;566;2994.14
2026-07-15;13:03:00;WIELTON;WLT (WIELTON);35;5.3000;0.0000;0.00;300;1590.00
2026-07-15;13:08:00;WIELTON;WLT (WIELTON);36;5.3000;0.0000;0.00;4;21.20
2026-07-15;13:17:00;WIELTON;WLT (WIELTON);37;5.3000;0.0000;0.00;1;5.30
2026-07-15;13:18:00;WIELTON;WLT (WIELTON);38;5.2900;-0.0100;-0.19;18;95.23
2026-07-15;13:23:00;WIELTON;WLT (WIELTON);39;5.2700;-0.0200;-0.38;828;4371.90
2026-07-15;13:27:00;WIELTON;WLT (WIELTON);40;5.3000;0.0000;0.00;364;1929.20
2026-07-15;13:28:00;WIELTON;WLT (WIELTON);41;5.3100;0.0000;0.00;10;53.10
2026-07-15;13:29:00;WIELTON;WLT (WIELTON);42;5.3400;0.0200;0.38;4771;25462.86
2026-07-15;13:30:00;WIELTON;WLT (WIELTON);43;5.3600;0.0100;0.19;4876;26096.17
2026-07-15;13:35:00;WIELTON;WLT (WIELTON);44;5.3700;0.0000;0.00;130;698.10
2026-07-15;13:36:00;WIELTON;WLT (WIELTON);45;5.3200;-0.0400;-0.75;1000;5333.01
2026-07-15;13:38:00;WIELTON;WLT (WIELTON);46;5.2900;-0.0400;-0.75;1000;5304.65
2026-07-15;13:41:00;WIELTON;WLT (WIELTON);47;5.2900;-0.0100;-0.19;1225;6480.35
2026-07-15;13:47:00;WIELTON;WLT (WIELTON);48;5.2900;0.0000;0.00;2119;11209.51
2026-07-15;13:50:00;WIELTON;WLT (WIELTON);49;5.2900;0.0000;0.00;8;42.32
2026-07-15;13:51:00;WIELTON;WLT (WIELTON);50;5.2900;0.0000;0.00;150;793.50
2026-07-15;14:07:00;WIELTON;WLT (WIELTON);51;5.3200;0.0000;0.00;20;106.40
2026-07-15;14:37:00;WIELTON;WLT (WIELTON);52;5.3200;0.0000;0.00;687;3654.84
2026-07-15;14:41:00;WIELTON;WLT (WIELTON);53;5.3200;0.0000;0.00;10;53.20
2026-07-15;14:51:00;WIELTON;WLT (WIELTON);54;5.3200;0.0000;0.00;200;1064.00
2026-07-15;15:02:00;WIELTON;WLT (WIELTON);55;5.3200;-0.0100;-0.19;153;814.46
2026-07-15;15:15:00;WIELTON;WLT (WIELTON);56;5.2800;-0.0100;-0.19;24;126.95
2026-07-15;15:16:00;WIELTON;WLT (WIELTON);57;5.2500;-0.0300;-0.57;708;3720.37
2026-07-15;15:28:00;WIELTON;WLT (WIELTON);58;5.2300;-0.0200;-0.38;58;303.78
2026-07-15;15:31:00;WIELTON;WLT (WIELTON);59;5.2900;0.0000;0.00;1;5.29
2026-07-15;15:33:00;WIELTON;WLT (WIELTON);60;5.2900;0.0000;0.00;3;15.87
2026-07-15;15:34:00;WIELTON;WLT (WIELTON);61;5.2600;0.0000;0.00;3;15.78
2026-07-15;15:37:00;WIELTON;WLT (WIELTON);62;5.2900;0.0000;0.00;10;52.90
2026-07-15;15:39:00;WIELTON;WLT (WIELTON);63;5.2400;0.0000;0.00;43;225.32
2026-07-15;15:51:00;WIELTON;WLT (WIELTON);64;5.2900;0.0000;0.00;100;529.00
2026-07-15;15:56:00;WIELTON;WLT (WIELTON);65;5.2900;0.0000;0.00;94;497.26
2026-07-15;16:02:00;WIELTON;WLT (WIELTON);66;5.2400;-0.0200;-0.38;100;525.04
2026-07-15;16:08:00;WIELTON;WLT (WIELTON);67;5.2900;0.0000;0.00;1236;6538.44
2026-07-15;16:10:00;WIELTON;WLT (WIELTON);68;5.3000;0.0000;0.00;7;37.10
2026-07-15;16:20:00;WIELTON;WLT (WIELTON);69;5.3000;0.0000;0.00;731;3874.30
2026-07-15;16:21:00;WIELTON;WLT (WIELTON);70;5.3100;0.0000;0.00;10;53.10
2026-07-15;16:23:00;WIELTON;WLT (WIELTON);71;5.3500;0.0000;0.00;589;3151.15
2026-07-15;16:25:00;WIELTON;WLT (WIELTON);72;5.3500;0.0000;0.00;411;2198.85
2026-07-15;16:32:00;WIELTON;WLT (WIELTON);73;5.3100;-0.0100;-0.19;1500;7965.10
2026-07-15;16:40:00;WIELTON;WLT (WIELTON);74;5.3100;0.0000;0.00;120;637.20
2026-07-15;16:47:00;WIELTON;WLT (WIELTON);75;5.3400;0.0000;0.00;1064;5681.76
2026-07-15;16:48:00;WIELTON;WLT (WIELTON);76;5.3500;0.0000;0.00;500;2675.00
2026-07-15;17:00:00;WIELTON;WLT (WIELTON);77;5.3600;0.0000;0.00;4097;21959.92
