Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-24;09:00:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);1;61.3000;-0.8000;-1.29;215;13287.80
2026-08-24;09:05:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);2;62.5000;-0.4000;-0.64;114;7145.00
2026-08-24;09:16:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);3;62.9000;0.0000;0.00;10;629.00
2026-08-24;09:17:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);4;62.3000;0.0000;0.00;15;934.50
2026-08-24;09:29:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);5;63.0000;0.1000;0.16;207;13020.40
2026-08-24;09:38:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);6;62.9000;0.0000;0.00;1;62.90
2026-08-24;09:44:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);7;62.8000;0.0000;0.00;130;8164.00
2026-08-24;09:46:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);8;62.9000;0.0000;0.00;199;12517.10
2026-08-24;09:52:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);9;63.0000;0.0000;0.00;123;7749.00
2026-08-24;09:53:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);10;62.9000;0.0000;0.00;6;377.40
2026-08-24;09:57:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);11;62.9000;0.0000;0.00;23;1445.90
2026-08-24;10:13:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);12;64.1000;0.7000;1.10;493;31275.10
2026-08-24;10:14:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);13;64.6000;0.4000;0.62;490;31547.00
2026-08-24;10:16:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);14;64.6000;1.3000;2.05;15;958.70
2026-08-24;10:17:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);15;64.9000;0.0000;0.00;331;21481.90
2026-08-24;10:19:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);16;64.0000;-0.8000;-1.23;267;17093.60
2026-08-24;10:21:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);17;64.1000;0.0000;0.00;101;6474.10
2026-08-24;10:22:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);18;64.3000;0.0000;0.00;6;385.80
2026-08-24;10:43:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);19;63.9000;0.0000;0.00;99;6326.10
2026-08-24;10:45:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);20;64.0000;0.0000;0.00;15;960.00
2026-08-24;10:52:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);21;64.3000;0.0000;0.00;15;964.50
2026-08-24;10:58:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);22;64.3000;0.0000;0.00;1;64.30
2026-08-24;11:02:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);23;64.0000;0.0000;0.00;121;7744.00
2026-08-24;11:30:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);24;63.9000;0.0000;0.00;31;1980.90
2026-08-24;11:52:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);25;63.8000;-0.1000;-0.16;135;8626.10
2026-08-24;12:45:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);26;63.1000;0.0000;0.00;58;3659.80
2026-08-24;12:56:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);27;63.1000;-0.1000;-0.16;16;1010.20
2026-08-24;13:00:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);28;63.9000;0.0000;0.00;1;63.90
2026-08-24;13:55:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);29;63.4000;0.0000;0.00;1;63.40
2026-08-24;14:21:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);30;63.4000;-0.5000;-0.78;106;6793.00
2026-08-24;15:06:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);31;64.2000;0.0000;0.00;2;128.40
2026-08-24;15:08:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);32;63.7000;0.0000;0.00;4;254.80
2026-08-24;15:32:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);33;63.7000;0.0000;0.00;9;573.30
2026-08-24;16:00:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);34;64.1000;0.0000;0.00;16;1025.60
2026-08-24;16:07:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);35;63.8000;0.0000;0.00;2;127.60
2026-08-24;16:23:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);36;64.0000;0.0000;0.00;1;64.00
2026-08-24;16:37:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);37;64.0000;0.0000;0.00;2;128.00
2026-08-24;16:45:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);38;63.5000;0.0000;0.00;1;63.50
2026-08-24;16:49:00;WIRTUALNA-POLSKA;WPL (WIRTUALNA);39;64.0000;0.0000;0.00;8;512.00
