Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-09;09:32:00;WPR;WPR (WOODPCKR);1;2.7600;0.0000;0.00;4;11.04
2026-09-09;09:33:00;WPR;WPR (WOODPCKR);2;2.8000;0.0000;0.00;1;2.80
2026-09-09;09:36:00;WPR;WPR (WOODPCKR);3;2.8500;0.0500;1.79;1395;3938.30
2026-09-09;09:43:00;WPR;WPR (WOODPCKR);4;2.9000;0.0400;1.40;120;345.52
2026-09-09;11:26:00;WPR;WPR (WOODPCKR);5;2.8500;0.0000;0.00;300;855.00
2026-09-09;13:31:00;WPR;WPR (WOODPCKR);6;2.8500;0.0500;1.79;250;710.00
2026-09-09;13:46:00;WPR;WPR (WOODPCKR);7;2.8500;0.0000;0.00;1;2.85
2026-09-09;14:21:00;WPR;WPR (WOODPCKR);8;2.7900;-0.0600;-2.11;54;153.60
2026-09-09;14:42:00;WPR;WPR (WOODPCKR);9;2.7900;0.0000;0.00;46;128.34
2026-09-09;16:24:00;WPR;WPR (WOODPCKR);10;2.8400;0.0000;0.00;1;2.84
