Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-19;09:00:00;WTN;WTN (WITTCHEN);1;13.6700;-0.1000;-0.73;246;3387.23
2026-08-19;09:01:00;WTN;WTN (WITTCHEN);2;13.7700;0.0000;0.00;2;27.54
2026-08-19;09:02:00;WTN;WTN (WITTCHEN);3;13.7700;0.0700;0.51;527;7199.11
2026-08-19;09:06:00;WTN;WTN (WITTCHEN);4;13.7700;0.0000;0.00;200;2754.00
2026-08-19;09:09:00;WTN;WTN (WITTCHEN);5;13.7000;0.0000;0.00;10;137.00
2026-08-19;09:15:00;WTN;WTN (WITTCHEN);6;13.7700;0.0000;0.00;19;261.63
2026-08-19;09:17:00;WTN;WTN (WITTCHEN);7;13.7300;0.0000;0.00;68;933.64
2026-08-19;09:18:00;WTN;WTN (WITTCHEN);8;13.7700;0.0000;0.00;6;82.62
2026-08-19;09:20:00;WTN;WTN (WITTCHEN);9;13.7700;0.0000;0.00;92;1266.84
2026-08-19;09:31:00;WTN;WTN (WITTCHEN);10;13.7700;0.0000;0.00;20;275.40
2026-08-19;09:33:00;WTN;WTN (WITTCHEN);11;13.7700;0.0000;0.00;3;41.31
2026-08-19;09:35:00;WTN;WTN (WITTCHEN);12;13.8000;0.0300;0.22;200;2757.72
2026-08-19;09:39:00;WTN;WTN (WITTCHEN);13;13.7200;-0.0200;-0.15;141;1934.97
2026-08-19;09:40:00;WTN;WTN (WITTCHEN);14;13.7000;-0.0100;-0.07;747;10233.97
2026-08-19;09:42:00;WTN;WTN (WITTCHEN);15;13.7000;0.0000;0.00;80;1096.00
2026-08-19;09:47:00;WTN;WTN (WITTCHEN);16;13.7800;0.0000;0.00;7;96.46
2026-08-19;09:57:00;WTN;WTN (WITTCHEN);17;13.7800;0.0000;0.00;30;413.40
2026-08-19;09:58:00;WTN;WTN (WITTCHEN);18;13.7800;0.0000;0.00;200;2756.00
2026-08-19;10:01:00;WTN;WTN (WITTCHEN);19;13.7800;0.0000;0.00;200;2756.00
2026-08-19;10:07:00;WTN;WTN (WITTCHEN);20;13.7800;0.0000;0.00;2;27.56
2026-08-19;10:08:00;WTN;WTN (WITTCHEN);21;13.6500;-0.0500;-0.36;8;109.36
2026-08-19;10:10:00;WTN;WTN (WITTCHEN);22;13.6500;0.0000;0.00;85;1160.25
2026-08-19;10:19:00;WTN;WTN (WITTCHEN);23;13.7700;0.0000;0.00;1;13.77
2026-08-19;10:20:00;WTN;WTN (WITTCHEN);24;13.7800;0.0000;0.00;60;826.80
2026-08-19;10:24:00;WTN;WTN (WITTCHEN);25;13.7000;0.0000;0.00;55;753.50
2026-08-19;10:28:00;WTN;WTN (WITTCHEN);26;13.6500;-0.0100;-0.07;4;54.62
2026-08-19;10:34:00;WTN;WTN (WITTCHEN);27;13.7700;0.0100;0.07;36;495.71
2026-08-19;10:56:00;WTN;WTN (WITTCHEN);28;13.7400;0.0100;0.07;101;1387.73
2026-08-19;11:04:00;WTN;WTN (WITTCHEN);29;13.6500;-0.0200;-0.15;374;5107.13
2026-08-19;11:18:00;WTN;WTN (WITTCHEN);30;13.6400;-0.0100;-0.07;100;1364.01
2026-08-19;11:19:00;WTN;WTN (WITTCHEN);31;13.7400;0.1000;0.73;1220;16538.08
2026-08-19;11:20:00;WTN;WTN (WITTCHEN);32;13.5000;-0.0100;-0.07;334;4511.00
2026-08-19;11:22:00;WTN;WTN (WITTCHEN);33;13.5000;-0.0100;-0.07;80;1080.08
2026-08-19;11:38:00;WTN;WTN (WITTCHEN);34;13.5000;-0.0200;-0.15;10;135.10
2026-08-19;11:41:00;WTN;WTN (WITTCHEN);35;13.5200;0.0000;0.00;40;540.80
2026-08-19;11:53:00;WTN;WTN (WITTCHEN);36;13.6800;0.0000;0.00;15;205.20
2026-08-19;12:09:00;WTN;WTN (WITTCHEN);37;13.6800;0.0100;0.07;61;834.47
2026-08-19;12:16:00;WTN;WTN (WITTCHEN);38;13.6800;0.0000;0.00;56;766.08
2026-08-19;12:19:00;WTN;WTN (WITTCHEN);39;13.6900;0.0000;0.00;30;410.70
2026-08-19;12:55:00;WTN;WTN (WITTCHEN);40;13.6700;0.0000;0.00;79;1079.93
2026-08-19;12:58:00;WTN;WTN (WITTCHEN);41;13.6700;0.0000;0.00;100;1367.00
2026-08-19;13:03:00;WTN;WTN (WITTCHEN);42;13.6500;0.0000;0.00;60;819.00
2026-08-19;13:09:00;WTN;WTN (WITTCHEN);43;13.6900;0.0200;0.15;10;136.82
2026-08-19;13:16:00;WTN;WTN (WITTCHEN);44;13.5800;0.0000;0.00;2;27.16
2026-08-19;13:17:00;WTN;WTN (WITTCHEN);45;13.5600;-0.0100;-0.07;58;786.70
2026-08-19;13:19:00;WTN;WTN (WITTCHEN);46;13.5600;0.0000;0.00;40;542.40
2026-08-19;13:56:00;WTN;WTN (WITTCHEN);47;13.6700;0.0100;0.07;9;123.01
2026-08-19;14:12:00;WTN;WTN (WITTCHEN);48;13.6500;0.0000;0.00;2;27.30
2026-08-19;14:19:00;WTN;WTN (WITTCHEN);49;13.5500;-0.0400;-0.29;35;474.63
2026-08-19;14:20:00;WTN;WTN (WITTCHEN);50;13.5300;-0.0100;-0.07;63;852.89
2026-08-19;14:32:00;WTN;WTN (WITTCHEN);51;13.5300;-0.0100;-0.07;80;1082.42
