Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:00:00;XPLUS;XPL (XPLUS);1;2.9000;0.0000;0.00;22;63.80
2026-07-28;09:02:00;XPLUS;XPL (XPLUS);2;2.9000;0.0000;0.00;35;101.50
2026-07-28;09:17:00;XPLUS;XPL (XPLUS);3;2.8800;0.0000;0.00;130;374.40
2026-07-28;09:20:00;XPLUS;XPL (XPLUS);4;2.9800;0.0800;2.76;55;161.10
2026-07-28;10:05:00;XPLUS;XPL (XPLUS);5;2.8900;0.0000;0.00;230;664.70
2026-07-28;10:19:00;XPLUS;XPL (XPLUS);6;2.9800;0.0000;0.00;5;14.90
2026-07-28;12:14:00;XPLUS;XPL (XPLUS);7;2.9700;0.0000;0.00;55;163.35
2026-07-28;12:44:00;XPLUS;XPL (XPLUS);8;2.9700;0.0000;0.00;2;5.94
2026-07-28;12:46:00;XPLUS;XPL (XPLUS);9;2.9700;0.0000;0.00;4;11.88
2026-07-28;12:49:00;XPLUS;XPL (XPLUS);10;2.9700;0.0000;0.00;6;17.82
2026-07-28;12:54:00;XPLUS;XPL (XPLUS);11;2.8900;-0.0100;-0.34;266;769.74
2026-07-28;13:08:00;XPLUS;XPL (XPLUS);12;2.9700;0.0000;0.00;5;14.85
2026-07-28;13:22:00;XPLUS;XPL (XPLUS);13;2.9700;0.0000;0.00;11;32.67
2026-07-28;14:58:00;XPLUS;XPL (XPLUS);14;2.8900;0.0000;0.00;1957;5655.73
2026-07-28;15:09:00;XPLUS;XPL (XPLUS);15;2.9400;0.0500;1.73;50;144.85
2026-07-28;15:11:00;XPLUS;XPL (XPLUS);16;2.9700;0.0000;0.00;5;14.85
2026-07-28;16:48:00;XPLUS;XPL (XPLUS);17;2.9700;0.0000;0.00;9;26.73
