Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:00:00;XTB;XTB;1;139.3000;0.5200;0.37;5831;809289.50
2026-07-28;09:01:00;XTB;XTB;2;138.5600;-0.8400;-0.60;1501;208383.02
2026-07-28;09:02:00;XTB;XTB;3;138.4000;-0.1200;-0.09;508;70352.56
2026-07-28;09:03:00;XTB;XTB;4;138.0400;-0.5000;-0.36;1325;183072.22
2026-07-28;09:04:00;XTB;XTB;5;138.5600;0.4000;0.29;2054;283807.40
2026-07-28;09:05:00;XTB;XTB;6;138.7000;0.1400;0.10;1860;257682.28
2026-07-28;09:06:00;XTB;XTB;7;138.2200;-0.6200;-0.45;1477;205061.98
2026-07-28;09:07:00;XTB;XTB;8;138.5600;0.2400;0.17;739;102407.34
2026-07-28;09:08:00;XTB;XTB;9;138.7000;0.0600;0.04;540;74891.28
2026-07-28;09:09:00;XTB;XTB;10;138.6200;-0.3800;-0.27;912;126543.40
2026-07-28;09:10:00;XTB;XTB;11;138.4600;-0.1600;-0.12;1208;167408.94
2026-07-28;09:11:00;XTB;XTB;12;138.4000;-0.2200;-0.16;231;31977.28
2026-07-28;09:12:00;XTB;XTB;13;138.0000;-0.4000;-0.29;1403;193876.34
2026-07-28;09:13:00;XTB;XTB;14;138.3600;0.3800;0.28;603;83263.42
2026-07-28;09:14:00;XTB;XTB;15;138.1600;-0.1800;-0.13;1297;179184.60
2026-07-28;09:15:00;XTB;XTB;16;138.0600;-0.1000;-0.07;501;69171.50
2026-07-28;09:16:00;XTB;XTB;17;138.8800;0.6000;0.43;2290;317141.40
2026-07-28;09:17:00;XTB;XTB;18;138.7600;-0.0600;-0.04;107;14853.92
2026-07-28;09:18:00;XTB;XTB;19;138.7200;-0.1400;-0.10;1660;230161.12
2026-07-28;09:19:00;XTB;XTB;20;138.4600;-0.2600;-0.19;1552;215157.16
2026-07-28;09:20:00;XTB;XTB;21;138.4800;0.2400;0.17;10;1384.32
2026-07-28;09:21:00;XTB;XTB;22;138.5000;0.2400;0.17;20;2768.32
2026-07-28;09:22:00;XTB;XTB;23;138.5200;0.2600;0.19;595;82353.22
2026-07-28;09:23:00;XTB;XTB;24;138.6400;0.0400;0.03;2199;304815.68
2026-07-28;09:24:00;XTB;XTB;25;139.2000;0.5400;0.39;1392;193513.32
2026-07-28;09:25:00;XTB;XTB;26;139.3000;0.0000;0.00;236;32873.16
2026-07-28;09:26:00;XTB;XTB;27;139.6000;0.2000;0.14;169;23578.16
2026-07-28;09:27:00;XTB;XTB;28;139.6600;0.0600;0.04;1556;217233.02
2026-07-28;09:28:00;XTB;XTB;29;138.9400;-0.7200;-0.52;2783;387987.66
2026-07-28;09:29:00;XTB;XTB;30;139.2400;0.3000;0.22;412;57425.68
2026-07-28;09:30:00;XTB;XTB;31;139.8000;0.5600;0.40;812;113268.04
2026-07-28;09:31:00;XTB;XTB;32;139.7200;0.1400;0.10;1263;176190.42
2026-07-28;09:32:00;XTB;XTB;33;139.7400;0.0000;0.00;33;4609.88
2026-07-28;09:33:00;XTB;XTB;34;139.8800;0.2600;0.19;325;45401.96
2026-07-28;09:34:00;XTB;XTB;35;139.6800;-0.2000;-0.14;2391;333599.96
2026-07-28;09:35:00;XTB;XTB;36;139.7000;0.0400;0.03;7449;1041737.24
2026-07-28;09:36:00;XTB;XTB;37;139.6600;-0.0400;-0.03;483;67449.70
2026-07-28;09:37:00;XTB;XTB;38;139.7000;0.0000;0.00;534;74525.54
2026-07-28;09:38:00;XTB;XTB;39;139.9000;0.2000;0.14;20780;2903027.42
2026-07-28;09:39:00;XTB;XTB;40;140.6400;0.7400;0.53;7560;1060820.10
2026-07-28;09:40:00;XTB;XTB;41;140.4000;-0.0600;-0.04;1091;153142.94
2026-07-28;09:41:00;XTB;XTB;42;140.0800;-0.1800;-0.13;121;16967.32
2026-07-28;09:42:00;XTB;XTB;43;139.8200;-0.5200;-0.37;1147;160640.18
2026-07-28;09:43:00;XTB;XTB;44;140.2800;0.2000;0.14;586;82108.82
2026-07-28;09:44:00;XTB;XTB;45;139.9800;-0.0800;-0.06;1373;192097.62
2026-07-28;09:45:00;XTB;XTB;46;139.9000;-0.0800;-0.06;1518;212154.04
2026-07-28;09:46:00;XTB;XTB;47;139.8000;0.0800;0.06;3396;474377.94
2026-07-28;09:47:00;XTB;XTB;48;139.7200;-0.0800;-0.06;2025;283077.90
2026-07-28;09:48:00;XTB;XTB;49;139.9600;0.2000;0.14;102;14258.22
2026-07-28;09:49:00;XTB;XTB;50;139.6000;-0.3600;-0.26;12877;1800851.88
2026-07-28;09:50:00;XTB;XTB;51;139.8200;0.2200;0.16;271;37864.60
2026-07-28;09:51:00;XTB;XTB;52;139.4400;-0.5000;-0.36;2299;320983.44
2026-07-28;09:52:00;XTB;XTB;53;139.7200;0.1200;0.09;101;14107.18
2026-07-28;09:53:00;XTB;XTB;54;139.5800;-0.1200;-0.09;399;55704.36
2026-07-28;09:54:00;XTB;XTB;55;139.5800;0.0000;0.00;11;1535.38
2026-07-28;09:55:00;XTB;XTB;56;139.5800;0.0000;0.00;13;1814.54
2026-07-28;09:56:00;XTB;XTB;57;139.4400;-0.0600;-0.04;993;138500.70
2026-07-28;09:57:00;XTB;XTB;58;139.4600;0.0200;0.01;854;119013.58
2026-07-28;09:58:00;XTB;XTB;59;139.2200;0.0000;0.00;4;557.12
2026-07-28;09:59:00;XTB;XTB;60;139.4600;0.0000;0.00;12;1673.52
2026-07-28;10:00:00;XTB;XTB;61;139.4400;-0.0200;-0.01;602;83965.04
2026-07-28;10:01:00;XTB;XTB;62;139.3000;-0.2400;-0.17;603;84074.24
2026-07-28;10:02:00;XTB;XTB;63;139.5000;0.2000;0.14;27;3761.70
2026-07-28;10:03:00;XTB;XTB;64;139.5000;0.2000;0.14;94;13111.00
2026-07-28;10:04:00;XTB;XTB;65;139.2600;-0.0400;-0.03;491;68399.38
2026-07-28;10:05:00;XTB;XTB;66;139.2800;0.0200;0.01;115;16032.68
2026-07-28;10:06:00;XTB;XTB;67;139.5800;0.0800;0.06;196;27353.56
2026-07-28;10:07:00;XTB;XTB;68;139.5800;0.0000;0.00;824;114941.56
2026-07-28;10:08:00;XTB;XTB;69;139.4400;-0.1400;-0.10;804;112124.20
2026-07-28;10:09:00;XTB;XTB;70;139.4600;0.0200;0.01;283;39464.04
2026-07-28;10:10:00;XTB;XTB;71;139.4000;-0.0600;-0.04;508;70818.14
2026-07-28;10:11:00;XTB;XTB;72;139.4800;0.0800;0.06;30;4182.80
2026-07-28;10:12:00;XTB;XTB;73;139.2000;-0.2800;-0.20;1583;220563.38
2026-07-28;10:13:00;XTB;XTB;74;139.3800;0.0200;0.01;1717;239035.84
2026-07-28;10:14:00;XTB;XTB;75;139.1000;-0.1000;-0.07;909;126497.06
2026-07-28;10:15:00;XTB;XTB;76;139.3800;0.2400;0.17;199;27698.32
2026-07-28;10:16:00;XTB;XTB;77;139.3800;0.0000;0.00;2901;404427.16
2026-07-28;10:17:00;XTB;XTB;78;138.9600;-0.4200;-0.30;1286;178885.70
2026-07-28;10:18:00;XTB;XTB;79;138.9400;-0.1600;-0.12;325;45191.56
2026-07-28;10:19:00;XTB;XTB;80;139.2000;0.1800;0.13;22;3060.60
2026-07-28;10:21:00;XTB;XTB;81;138.6800;-0.3800;-0.27;1581;219529.68
2026-07-28;10:22:00;XTB;XTB;82;138.6400;-0.2200;-0.16;196;27205.12
2026-07-28;10:23:00;XTB;XTB;83;138.8600;0.2200;0.16;137;18996.76
2026-07-28;10:24:00;XTB;XTB;84;138.7800;-0.0800;-0.06;706;97943.94
2026-07-28;10:25:00;XTB;XTB;85;138.6200;-0.1600;-0.12;850;117816.48
2026-07-28;10:26:00;XTB;XTB;86;138.5000;-0.0600;-0.04;1087;150546.40
2026-07-28;10:27:00;XTB;XTB;87;138.5000;0.0000;0.00;65;8999.30
2026-07-28;10:28:00;XTB;XTB;88;138.4800;-0.0200;-0.01;474;65656.98
2026-07-28;10:29:00;XTB;XTB;89;138.5600;0.0600;0.04;1015;140640.84
2026-07-28;10:30:00;XTB;XTB;90;138.5200;0.0000;0.00;191;26465.72
2026-07-28;10:31:00;XTB;XTB;91;138.4000;-0.1200;-0.09;841;116479.96
2026-07-28;10:32:00;XTB;XTB;92;138.5000;0.0200;0.01;244;33790.64
2026-07-28;10:33:00;XTB;XTB;93;138.5000;0.0000;0.00;338;46807.60
2026-07-28;10:34:00;XTB;XTB;94;138.6000;0.0000;0.00;388;53770.00
2026-07-28;10:35:00;XTB;XTB;95;138.8600;0.2600;0.19;1249;173203.86
2026-07-28;10:36:00;XTB;XTB;96;139.1200;0.2600;0.19;1460;202854.98
2026-07-28;10:37:00;XTB;XTB;97;139.0000;-0.1200;-0.09;2602;361765.42
2026-07-28;10:38:00;XTB;XTB;98;139.0000;-0.1600;-0.11;260;36144.06
2026-07-28;10:39:00;XTB;XTB;99;139.0000;0.0000;0.00;20;2780.00
2026-07-28;10:40:00;XTB;XTB;100;139.0000;0.0400;0.03;248;34461.82
2026-07-28;10:41:00;XTB;XTB;101;138.8400;-0.0800;-0.06;359;49857.26
2026-07-28;10:42:00;XTB;XTB;102;138.7200;-0.2800;-0.20;503;69812.36
2026-07-28;10:43:00;XTB;XTB;103;139.1400;0.4200;0.30;755;104824.52
2026-07-28;10:44:00;XTB;XTB;104;139.1200;-0.0200;-0.01;7;973.86
2026-07-28;10:45:00;XTB;XTB;105;138.7600;-0.1000;-0.07;914;126867.72
2026-07-28;10:46:00;XTB;XTB;106;138.4000;-0.3600;-0.26;1100;152471.94
2026-07-28;10:47:00;XTB;XTB;107;138.3800;-0.1200;-0.09;262;36256.84
2026-07-28;10:48:00;XTB;XTB;108;138.3000;-0.0800;-0.06;434;60032.56
2026-07-28;10:49:00;XTB;XTB;109;138.3200;-0.1800;-0.13;416;57578.52
2026-07-28;10:50:00;XTB;XTB;110;138.6600;0.1600;0.12;198;27441.18
2026-07-28;10:51:00;XTB;XTB;111;138.2800;-0.3800;-0.27;2802;388018.64
2026-07-28;10:52:00;XTB;XTB;112;138.2800;0.0000;0.00;121;16746.62
2026-07-28;10:53:00;XTB;XTB;113;138.4400;0.1600;0.12;29;4015.34
2026-07-28;10:54:00;XTB;XTB;114;138.5000;0.1800;0.13;40;5535.34
2026-07-28;10:55:00;XTB;XTB;115;138.4600;-0.0400;-0.03;39;5396.24
2026-07-28;10:56:00;XTB;XTB;116;138.2400;-0.1400;-0.10;921;127413.46
2026-07-28;10:57:00;XTB;XTB;117;138.2400;0.0000;0.00;153;21150.72
2026-07-28;10:58:00;XTB;XTB;118;138.2400;-0.1000;-0.07;280;38710.00
2026-07-28;10:59:00;XTB;XTB;119;138.2800;-0.0600;-0.04;189;26124.20
2026-07-28;11:00:00;XTB;XTB;120;138.2000;-0.0800;-0.06;758;104808.44
2026-07-28;11:01:00;XTB;XTB;121;138.2000;0.0000;0.00;30;4146.20
2026-07-28;11:02:00;XTB;XTB;122;138.3200;0.0800;0.06;37;5120.18
2026-07-28;11:03:00;XTB;XTB;123;138.3000;-0.0200;-0.01;1047;144804.58
2026-07-28;11:04:00;XTB;XTB;124;138.0400;-0.1200;-0.09;740;102202.24
2026-07-28;11:05:00;XTB;XTB;125;138.1000;-0.1800;-0.13;115;15880.28
2026-07-28;11:06:00;XTB;XTB;126;138.1200;0.0200;0.01;663;91602.90
2026-07-28;11:07:00;XTB;XTB;127;137.8200;-0.2600;-0.19;1920;264920.82
2026-07-28;11:08:00;XTB;XTB;128;137.9000;0.0800;0.06;17;2343.26
2026-07-28;11:09:00;XTB;XTB;129;137.8800;-0.0200;-0.01;83;11438.56
2026-07-28;11:10:00;XTB;XTB;130;137.9000;0.0000;0.00;8;1103.20
2026-07-28;11:11:00;XTB;XTB;131;137.8000;-0.1000;-0.07;162;22337.26
2026-07-28;11:12:00;XTB;XTB;132;137.9600;0.1400;0.10;105;14478.68
2026-07-28;11:13:00;XTB;XTB;133;137.7600;-0.1000;-0.07;1657;228428.10
2026-07-28;11:14:00;XTB;XTB;134;137.9400;0.1000;0.07;314;43274.02
2026-07-28;11:15:00;XTB;XTB;135;137.7600;-0.1800;-0.13;78;10755.00
2026-07-28;11:16:00;XTB;XTB;136;138.0000;0.0600;0.04;419;57800.82
2026-07-28;11:17:00;XTB;XTB;137;137.8800;-0.0800;-0.06;1283;176944.18
2026-07-28;11:18:00;XTB;XTB;138;138.3000;0.3000;0.22;247;34156.80
2026-07-28;11:19:00;XTB;XTB;139;138.1200;-0.1800;-0.13;88;12154.92
2026-07-28;11:20:00;XTB;XTB;140;138.1200;0.0000;0.00;1388;191627.76
2026-07-28;11:21:00;XTB;XTB;141;138.1200;0.0000;0.00;880;121502.84
2026-07-28;11:22:00;XTB;XTB;142;138.0800;-0.0400;-0.03;801;110628.46
2026-07-28;11:23:00;XTB;XTB;143;138.3000;0.2000;0.14;890;122936.00
2026-07-28;11:24:00;XTB;XTB;144;138.1000;-0.1600;-0.12;837;115599.70
2026-07-28;11:25:00;XTB;XTB;145;138.2400;0.1800;0.13;155;21413.00
2026-07-28;11:26:00;XTB;XTB;146;138.2400;0.1200;0.09;65;8980.38
2026-07-28;11:27:00;XTB;XTB;147;138.2200;-0.0200;-0.01;599;82784.52
2026-07-28;11:28:00;XTB;XTB;148;138.1600;-0.1000;-0.07;1409;194707.48
2026-07-28;11:29:00;XTB;XTB;149;138.2000;0.1200;0.09;767;105910.26
2026-07-28;11:30:00;XTB;XTB;150;138.0800;-0.1200;-0.09;349;48191.96
2026-07-28;11:31:00;XTB;XTB;151;138.0200;-0.0400;-0.03;390;53831.98
2026-07-28;11:32:00;XTB;XTB;152;138.1200;0.1000;0.07;125;17255.44
2026-07-28;11:33:00;XTB;XTB;153;138.2000;0.0800;0.06;60;8288.66
2026-07-28;11:34:00;XTB;XTB;154;138.0200;-0.0400;-0.03;827;114159.44
2026-07-28;11:35:00;XTB;XTB;155;138.0600;0.0400;0.03;298;41131.02
2026-07-28;11:36:00;XTB;XTB;156;138.0800;0.0200;0.01;703;97068.98
2026-07-28;11:37:00;XTB;XTB;157;138.2600;0.1800;0.13;1577;217897.16
2026-07-28;11:38:00;XTB;XTB;158;138.2600;0.0000;0.00;6;829.56
2026-07-28;11:39:00;XTB;XTB;159;138.4000;0.1400;0.10;257;35540.10
