Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-17;09:00:00;XTP;XTP (XTPL);1;80.0000;0.0000;0.00;116;9280.00
2026-09-17;09:01:00;XTP;XTP (XTPL);2;80.0000;0.0000;0.00;1;80.00
2026-09-17;09:10:00;XTP;XTP (XTPL);3;79.8000;0.0000;0.00;2;159.60
2026-09-17;09:12:00;XTP;XTP (XTPL);4;80.0000;0.2000;0.25;771;61660.40
2026-09-17;09:13:00;XTP;XTP (XTPL);5;80.3000;0.0000;0.00;1;80.30
2026-09-17;09:20:00;XTP;XTP (XTPL);6;79.9000;0.0000;0.00;12;958.80
2026-09-17;09:23:00;XTP;XTP (XTPL);7;80.0000;0.1000;0.13;12;958.90
2026-09-17;09:26:00;XTP;XTP (XTPL);8;79.4000;0.0000;0.00;1;79.40
2026-09-17;09:30:00;XTP;XTP (XTPL);9;78.5000;-0.9000;-1.13;21;1658.40
2026-09-17;09:47:00;XTP;XTP (XTPL);10;78.6000;0.0000;0.00;30;2358.00
2026-09-17;09:53:00;XTP;XTP (XTPL);11;78.6000;0.0000;0.00;16;1257.60
2026-09-17;09:55:00;XTP;XTP (XTPL);12;79.3000;0.0000;0.00;1;79.30
2026-09-17;09:58:00;XTP;XTP (XTPL);13;79.3000;0.0000;0.00;7;555.10
2026-09-17;10:07:00;XTP;XTP (XTPL);14;79.3000;0.0000;0.00;2;158.60
2026-09-17;10:22:00;XTP;XTP (XTPL);15;78.9000;-0.4000;-0.50;64;5083.10
2026-09-17;10:40:00;XTP;XTP (XTPL);16;78.9000;0.0000;0.00;50;3945.00
2026-09-17;11:14:00;XTP;XTP (XTPL);17;79.4000;0.0000;0.00;1;79.40
2026-09-17;11:15:00;XTP;XTP (XTPL);18;79.4000;0.0000;0.00;1;79.40
2026-09-17;11:16:00;XTP;XTP (XTPL);19;79.4000;0.0000;0.00;1;79.40
2026-09-17;11:18:00;XTP;XTP (XTPL);20;78.8000;-0.6000;-0.76;67;5291.90
2026-09-17;11:21:00;XTP;XTP (XTPL);21;78.8000;0.0000;0.00;20;1576.00
2026-09-17;11:23:00;XTP;XTP (XTPL);22;78.8000;0.0000;0.00;7;551.60
2026-09-17;11:27:00;XTP;XTP (XTPL);23;78.8000;0.0000;0.00;7;551.60
2026-09-17;11:38:00;XTP;XTP (XTPL);24;78.8000;0.0000;0.00;2;157.60
2026-09-17;11:41:00;XTP;XTP (XTPL);25;78.8000;0.0000;0.00;25;1970.00
2026-09-17;11:51:00;XTP;XTP (XTPL);26;79.0000;0.2000;0.25;12;947.20
2026-09-17;11:53:00;XTP;XTP (XTPL);27;78.9000;0.2000;0.25;58;4565.20
2026-09-17;12:07:00;XTP;XTP (XTPL);28;78.0000;-0.6000;-0.76;311;24353.10
2026-09-17;12:13:00;XTP;XTP (XTPL);29;78.3000;0.0000;0.00;2;156.60
2026-09-17;12:14:00;XTP;XTP (XTPL);30;78.3000;0.0000;0.00;1;78.30
2026-09-17;12:24:00;XTP;XTP (XTPL);31;77.8000;0.0000;0.00;44;3423.20
2026-09-17;12:25:00;XTP;XTP (XTPL);32;78.8000;1.1000;1.42;356;28023.20
2026-09-17;12:26:00;XTP;XTP (XTPL);33;77.9000;-0.5000;-0.64;86;6701.90
2026-09-17;12:29:00;XTP;XTP (XTPL);34;77.7000;0.0000;0.00;4;310.80
2026-09-17;12:31:00;XTP;XTP (XTPL);35;78.1000;0.0000;0.00;13;1015.30
2026-09-17;12:41:00;XTP;XTP (XTPL);36;78.3000;0.2000;0.26;56;4378.80
2026-09-17;12:42:00;XTP;XTP (XTPL);37;78.6000;0.2000;0.26;130;10215.20
2026-09-17;12:43:00;XTP;XTP (XTPL);38;78.8000;0.1000;0.13;43;3386.90
2026-09-17;12:50:00;XTP;XTP (XTPL);39;78.4000;0.0000;0.00;3;235.20
2026-09-17;12:51:00;XTP;XTP (XTPL);40;78.4000;0.0000;0.00;2;156.80
2026-09-17;13:00:00;XTP;XTP (XTPL);41;78.3000;0.6000;0.77;37;2880.90
2026-09-17;13:03:00;XTP;XTP (XTPL);42;78.4000;0.1000;0.13;40;3133.80
2026-09-17;13:23:00;XTP;XTP (XTPL);43;77.4000;-0.2000;-0.26;77;5965.50
2026-09-17;13:30:00;XTP;XTP (XTPL);44;77.4000;0.0000;0.00;3;232.20
2026-09-17;13:33:00;XTP;XTP (XTPL);45;77.4000;0.0000;0.00;1;77.40
2026-09-17;13:34:00;XTP;XTP (XTPL);46;77.4000;0.0000;0.00;16;1238.40
2026-09-17;13:41:00;XTP;XTP (XTPL);47;77.3000;0.0000;0.00;41;3169.30
2026-09-17;13:42:00;XTP;XTP (XTPL);48;77.7000;0.4000;0.52;84;6497.20
2026-09-17;13:45:00;XTP;XTP (XTPL);49;76.5000;-0.8000;-1.03;588;45255.60
2026-09-17;13:46:00;XTP;XTP (XTPL);50;77.3000;0.0000;0.00;6;463.80
2026-09-17;13:47:00;XTP;XTP (XTPL);51;76.6000;0.0000;0.00;4;306.40
2026-09-17;13:49:00;XTP;XTP (XTPL);52;77.3000;0.0000;0.00;12;927.60
2026-09-17;13:53:00;XTP;XTP (XTPL);53;76.5000;-0.1000;-0.13;25;1913.10
2026-09-17;13:54:00;XTP;XTP (XTPL);54;76.0000;-1.3000;-1.68;128;9754.70
2026-09-17;13:55:00;XTP;XTP (XTPL);55;77.0000;0.0000;0.00;32;2464.00
