Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;YAN;YAN (YANOSIK);1;16.4000;0.0000;0.00;8;131.20
2026-08-07;10:33:00;YAN;YAN (YANOSIK);2;16.0000;0.0000;0.00;37;592.00
2026-08-07;11:32:00;YAN;YAN (YANOSIK);3;15.8000;-0.2000;-1.25;300;4767.40
2026-08-07;12:37:00;YAN;YAN (YANOSIK);4;15.8000;-0.1000;-0.63;200;3165.00
2026-08-07;14:40:00;YAN;YAN (YANOSIK);5;16.6000;0.4000;2.47;1151;18980.90
2026-08-07;14:44:00;YAN;YAN (YANOSIK);6;16.6000;0.0000;0.00;61;1012.60
2026-08-07;16:20:00;YAN;YAN (YANOSIK);7;16.0000;-0.1000;-0.62;625;10010.70
2026-08-07;16:24:00;YAN;YAN (YANOSIK);8;16.5000;0.0000;0.00;36;594.00
2026-08-07;16:30:00;YAN;YAN (YANOSIK);9;16.0000;0.0000;0.00;2;32.00
2026-08-07;17:00:00;YAN;YAN (YANOSIK);10;16.5000;0.0000;0.00;1;16.50
