Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:43:00;YARRL;YRL (YARRL);1;5.8800;0.0000;0.00;35;205.80
2026-07-24;10:09:00;YARRL;YRL (YARRL);2;5.9400;0.0000;0.00;525;3118.50
2026-07-24;10:10:00;YARRL;YRL (YARRL);3;5.9400;0.0000;0.00;275;1633.50
2026-07-24;10:19:00;YARRL;YRL (YARRL);4;5.9400;0.0000;0.00;25;148.50
2026-07-24;10:21:00;YARRL;YRL (YARRL);5;5.9400;0.0000;0.00;313;1859.22
2026-07-24;10:29:00;YARRL;YRL (YARRL);6;5.9800;0.0200;0.34;1000;5975.60
2026-07-24;11:08:00;YARRL;YRL (YARRL);7;5.9800;0.0000;0.00;80;478.40
2026-07-24;12:12:00;YARRL;YRL (YARRL);8;5.8600;-0.0200;-0.34;392;2298.06
2026-07-24;12:13:00;YARRL;YRL (YARRL);9;5.9800;0.1600;2.75;618;3593.20
2026-07-24;13:21:00;YARRL;YRL (YARRL);10;5.8000;0.0000;0.00;300;1740.00
2026-07-24;13:46:00;YARRL;YRL (YARRL);11;5.8200;0.0000;0.00;300;1746.00
2026-07-24;14:50:00;YARRL;YRL (YARRL);12;5.8200;0.0000;0.00;210;1222.20
2026-07-24;15:22:00;YARRL;YRL (YARRL);13;5.9600;0.1400;2.41;198;1167.48
2026-07-24;15:58:00;YARRL;YRL (YARRL);14;5.9000;0.0000;0.00;26;153.40
2026-07-24;16:04:00;YARRL;YRL (YARRL);15;5.8000;-0.0200;-0.34;430;2496.00
