Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-03;09:00:00;ZAB;ZAB (ZABKA);1;31.7300;-0.0600;-0.19;41937;1332617.63
2026-08-03;09:01:00;ZAB;ZAB (ZABKA);2;31.6300;-0.1000;-0.32;14565;461401.17
2026-08-03;09:02:00;ZAB;ZAB (ZABKA);3;31.6500;-0.0200;-0.06;12686;401413.19
2026-08-03;09:03:00;ZAB;ZAB (ZABKA);4;31.6600;0.0200;0.06;14496;458399.44
2026-08-03;09:04:00;ZAB;ZAB (ZABKA);5;31.6000;-0.0400;-0.13;11934;377304.46
2026-08-03;09:05:00;ZAB;ZAB (ZABKA);6;31.6100;0.0000;0.00;5233;165438.14
2026-08-03;09:06:00;ZAB;ZAB (ZABKA);7;31.6000;-0.0100;-0.03;5482;173317.51
2026-08-03;09:07:00;ZAB;ZAB (ZABKA);8;31.6200;-0.0100;-0.03;8926;282249.96
2026-08-03;09:08:00;ZAB;ZAB (ZABKA);9;31.6300;0.0100;0.03;7773;245816.20
2026-08-03;09:09:00;ZAB;ZAB (ZABKA);10;31.6100;0.0000;0.00;6892;217894.93
2026-08-03;09:10:00;ZAB;ZAB (ZABKA);11;31.5900;-0.0300;-0.09;9557;302078.62
2026-08-03;09:11:00;ZAB;ZAB (ZABKA);12;31.5200;-0.0600;-0.19;15254;481423.15
2026-08-03;09:12:00;ZAB;ZAB (ZABKA);13;31.5100;-0.0100;-0.03;3748;118155.17
2026-08-03;09:13:00;ZAB;ZAB (ZABKA);14;31.5200;0.0100;0.03;10380;327194.35
2026-08-03;09:14:00;ZAB;ZAB (ZABKA);15;31.4400;-0.0700;-0.22;26156;823528.81
2026-08-03;09:15:00;ZAB;ZAB (ZABKA);16;31.4500;0.0000;0.00;4035;126873.31
2026-08-03;09:16:00;ZAB;ZAB (ZABKA);17;31.4400;-0.0100;-0.03;9262;291195.07
2026-08-03;09:17:00;ZAB;ZAB (ZABKA);18;31.4200;-0.0200;-0.06;13080;411257.29
2026-08-03;09:18:00;ZAB;ZAB (ZABKA);19;31.4100;-0.0100;-0.03;3811;119727.56
2026-08-03;09:19:00;ZAB;ZAB (ZABKA);20;31.4400;0.0300;0.10;6307;198203.81
2026-08-03;09:20:00;ZAB;ZAB (ZABKA);21;31.5200;0.1000;0.32;24159;760211.34
2026-08-03;09:21:00;ZAB;ZAB (ZABKA);22;31.5100;0.0000;0.00;12204;384468.51
2026-08-03;09:22:00;ZAB;ZAB (ZABKA);23;31.5100;0.0100;0.03;2581;81305.75
2026-08-03;09:23:00;ZAB;ZAB (ZABKA);24;31.4900;0.0000;0.00;2261;71214.85
2026-08-03;09:24:00;ZAB;ZAB (ZABKA);25;31.5000;0.0000;0.00;2379;74938.50
2026-08-03;09:25:00;ZAB;ZAB (ZABKA);26;31.5000;0.0000;0.00;3320;104579.24
2026-08-03;09:26:00;ZAB;ZAB (ZABKA);27;31.5000;0.0100;0.03;7835;246711.39
2026-08-03;09:27:00;ZAB;ZAB (ZABKA);28;31.4700;-0.0300;-0.10;7198;226599.00
2026-08-03;09:28:00;ZAB;ZAB (ZABKA);29;31.4800;0.0000;0.00;3531;111166.31
2026-08-03;09:29:00;ZAB;ZAB (ZABKA);30;31.5000;0.0100;0.03;4171;131350.17
2026-08-03;09:30:00;ZAB;ZAB (ZABKA);31;31.5000;0.0000;0.00;30037;946592.50
2026-08-03;09:31:00;ZAB;ZAB (ZABKA);32;31.5100;0.0100;0.03;7324;230766.89
2026-08-03;09:32:00;ZAB;ZAB (ZABKA);33;31.4900;-0.0100;-0.03;7291;229666.92
2026-08-03;09:33:00;ZAB;ZAB (ZABKA);34;31.4900;-0.0100;-0.03;5783;182127.27
2026-08-03;09:34:00;ZAB;ZAB (ZABKA);35;31.4800;-0.0100;-0.03;8570;269783.49
2026-08-03;09:35:00;ZAB;ZAB (ZABKA);36;31.4800;0.0000;0.00;1581;49767.95
2026-08-03;09:36:00;ZAB;ZAB (ZABKA);37;31.4900;0.0200;0.06;2080;65487.94
2026-08-03;09:37:00;ZAB;ZAB (ZABKA);38;31.4900;0.0100;0.03;1642;51706.51
