Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-20;09:00:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);1;48.2000;0.0000;0.00;50;2410.00
2026-07-20;10:19:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);2;47.5000;0.0000;0.00;1;47.50
2026-07-20;10:47:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);3;47.6000;0.0000;0.00;1;47.60
2026-07-20;11:10:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);4;47.5000;0.0000;0.00;41;1947.50
2026-07-20;11:38:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);5;48.3000;0.0000;0.00;2;96.60
2026-07-20;11:49:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);6;47.6000;0.0000;0.00;1;47.60
2026-07-20;14:01:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);7;47.6000;0.0000;0.00;1;47.60
2026-07-20;14:46:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);8;48.3000;0.0000;0.00;5;241.50
2026-07-20;15:15:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);9;48.3000;0.0000;0.00;7;338.10
2026-07-20;16:33:00;ZAKLADY-AZOTOWE-PULAWY;ZAP (PULAWY);10;48.3000;0.0000;0.00;53;2559.90
