Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-09;09:00:00;ZAMET-INDUSTRY;ZMT (ZAMET);1;0.5660;0.0000;0.00;12405;7021.23
2026-09-09;09:06:00;ZAMET-INDUSTRY;ZMT (ZAMET);2;0.5700;0.0000;0.00;25;14.25
2026-09-09;09:36:00;ZAMET-INDUSTRY;ZMT (ZAMET);3;0.5700;0.0000;0.00;1150;655.50
2026-09-09;09:58:00;ZAMET-INDUSTRY;ZMT (ZAMET);4;0.5700;0.0000;0.00;200;114.00
2026-09-09;10:16:00;ZAMET-INDUSTRY;ZMT (ZAMET);5;0.5700;0.0000;0.00;7724;4402.68
2026-09-09;10:19:00;ZAMET-INDUSTRY;ZMT (ZAMET);6;0.5700;0.0000;0.00;9099;5186.43
2026-09-09;10:27:00;ZAMET-INDUSTRY;ZMT (ZAMET);7;0.5700;0.0000;0.00;850;484.50
2026-09-09;10:30:00;ZAMET-INDUSTRY;ZMT (ZAMET);8;0.5700;0.0000;0.00;38;21.66
2026-09-09;11:06:00;ZAMET-INDUSTRY;ZMT (ZAMET);9;0.5700;0.0000;0.00;4;2.28
2026-09-09;11:22:00;ZAMET-INDUSTRY;ZMT (ZAMET);10;0.5680;0.0000;0.00;20;11.36
2026-09-09;11:26:00;ZAMET-INDUSTRY;ZMT (ZAMET);11;0.5700;0.0000;0.00;15350;8749.50
2026-09-09;11:53:00;ZAMET-INDUSTRY;ZMT (ZAMET);12;0.5680;0.0000;0.00;132;74.98
2026-09-09;13:16:00;ZAMET-INDUSTRY;ZMT (ZAMET);13;0.5680;0.0000;0.00;21;11.93
2026-09-09;13:17:00;ZAMET-INDUSTRY;ZMT (ZAMET);14;0.5700;0.0000;0.00;853;486.21
2026-09-09;14:25:00;ZAMET-INDUSTRY;ZMT (ZAMET);15;0.5700;0.0000;0.00;10;5.70
2026-09-09;15:02:00;ZAMET-INDUSTRY;ZMT (ZAMET);16;0.5700;0.0000;0.00;5200;2964.00
2026-09-09;15:10:00;ZAMET-INDUSTRY;ZMT (ZAMET);17;0.5700;0.0000;0.00;5000;2850.00
2026-09-09;15:32:00;ZAMET-INDUSTRY;ZMT (ZAMET);18;0.5680;0.0000;0.00;100;56.80
2026-09-09;15:37:00;ZAMET-INDUSTRY;ZMT (ZAMET);19;0.5680;0.0000;0.00;200;113.60
2026-09-09;16:16:00;ZAMET-INDUSTRY;ZMT (ZAMET);20;0.5680;0.0000;0.00;500;284.00
2026-09-09;17:00:00;ZAMET-INDUSTRY;ZMT (ZAMET);21;0.5680;0.0000;0.00;20000;11360.00
