Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;ZEPAK;ZEP (ZEPAK);1;17.8800;0.0000;0.00;500;8940.00
2026-07-31;09:28:00;ZEPAK;ZEP (ZEPAK);2;17.5400;0.0000;0.00;10;175.40
2026-07-31;09:33:00;ZEPAK;ZEP (ZEPAK);3;17.5200;-0.0200;-0.11;311;5452.52
2026-07-31;09:46:00;ZEPAK;ZEP (ZEPAK);4;17.5200;0.0000;0.00;100;1752.00
2026-07-31;10:21:00;ZEPAK;ZEP (ZEPAK);5;17.5400;0.0000;0.00;5;87.70
2026-07-31;10:36:00;ZEPAK;ZEP (ZEPAK);6;17.5200;0.0000;0.00;63;1103.76
2026-07-31;10:41:00;ZEPAK;ZEP (ZEPAK);7;17.5200;0.0000;0.00;450;7884.00
2026-07-31;10:53:00;ZEPAK;ZEP (ZEPAK);8;17.5200;0.0000;0.00;2;35.04
2026-07-31;12:13:00;ZEPAK;ZEP (ZEPAK);9;17.5200;0.0000;0.00;100;1752.00
2026-07-31;12:19:00;ZEPAK;ZEP (ZEPAK);10;17.5200;0.0000;0.00;2;35.04
2026-07-31;12:54:00;ZEPAK;ZEP (ZEPAK);11;17.7400;0.0600;0.34;30;531.54
2026-07-31;14:38:00;ZEPAK;ZEP (ZEPAK);12;17.5600;0.0000;0.00;6;105.36
2026-07-31;14:59:00;ZEPAK;ZEP (ZEPAK);13;17.5400;0.0000;0.00;30;526.20
2026-07-31;16:28:00;ZEPAK;ZEP (ZEPAK);14;17.5200;-0.1200;-0.68;103;1810.58
2026-07-31;16:44:00;ZEPAK;ZEP (ZEPAK);15;17.5200;0.0000;0.00;537;9408.24
2026-07-31;17:00:00;ZEPAK;ZEP (ZEPAK);16;17.5200;0.0000;0.00;34;595.68
