Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;ZREMB-CHOJNICE;ZRE (ZREMB);1;9.1600;0.0000;0.00;1152;10552.32
2026-08-05;09:01:00;ZREMB-CHOJNICE;ZRE (ZREMB);2;9.1600;0.0000;0.00;28;256.48
2026-08-05;09:02:00;ZREMB-CHOJNICE;ZRE (ZREMB);3;9.1600;0.0000;0.00;12;109.92
2026-08-05;09:03:00;ZREMB-CHOJNICE;ZRE (ZREMB);4;9.1800;0.0200;0.22;328;3004.68
2026-08-05;09:06:00;ZREMB-CHOJNICE;ZRE (ZREMB);5;9.1800;0.0000;0.00;339;3112.02
2026-08-05;09:07:00;ZREMB-CHOJNICE;ZRE (ZREMB);6;9.1900;0.0000;0.00;27;248.13
2026-08-05;09:08:00;ZREMB-CHOJNICE;ZRE (ZREMB);7;9.1900;0.0000;0.00;1784;16394.96
2026-08-05;09:14:00;ZREMB-CHOJNICE;ZRE (ZREMB);8;9.2000;0.0000;0.00;1;9.20
2026-08-05;09:17:00;ZREMB-CHOJNICE;ZRE (ZREMB);9;9.1900;0.0000;0.00;10;91.90
2026-08-05;09:20:00;ZREMB-CHOJNICE;ZRE (ZREMB);10;9.1900;0.0000;0.00;155;1424.45
2026-08-05;09:21:00;ZREMB-CHOJNICE;ZRE (ZREMB);11;9.1900;0.0000;0.00;1;9.19
2026-08-05;09:25:00;ZREMB-CHOJNICE;ZRE (ZREMB);12;9.1100;-0.0700;-0.76;528;4828.41
2026-08-05;09:29:00;ZREMB-CHOJNICE;ZRE (ZREMB);13;9.1800;0.0000;0.00;58;532.44
2026-08-05;09:31:00;ZREMB-CHOJNICE;ZRE (ZREMB);14;9.1800;0.0000;0.00;5;45.90
2026-08-05;09:32:00;ZREMB-CHOJNICE;ZRE (ZREMB);15;9.1800;0.0000;0.00;1;9.18
2026-08-05;09:34:00;ZREMB-CHOJNICE;ZRE (ZREMB);16;9.1800;0.0000;0.00;6;55.08
2026-08-05;09:44:00;ZREMB-CHOJNICE;ZRE (ZREMB);17;9.1800;0.0000;0.00;10;91.80
2026-08-05;09:45:00;ZREMB-CHOJNICE;ZRE (ZREMB);18;9.1800;0.0000;0.00;108;991.44
2026-08-05;09:46:00;ZREMB-CHOJNICE;ZRE (ZREMB);19;9.1800;0.0000;0.00;17;156.06
2026-08-05;09:47:00;ZREMB-CHOJNICE;ZRE (ZREMB);20;9.1800;0.0000;0.00;108;991.44
2026-08-05;09:53:00;ZREMB-CHOJNICE;ZRE (ZREMB);21;9.1800;0.0000;0.00;3;27.54
2026-08-05;09:54:00;ZREMB-CHOJNICE;ZRE (ZREMB);22;9.1800;0.0000;0.00;3;27.54
2026-08-05;09:57:00;ZREMB-CHOJNICE;ZRE (ZREMB);23;9.1800;0.0000;0.00;50;459.00
2026-08-05;09:58:00;ZREMB-CHOJNICE;ZRE (ZREMB);24;9.1200;-0.0100;-0.11;14;127.69
2026-08-05;09:59:00;ZREMB-CHOJNICE;ZRE (ZREMB);25;9.1800;0.0000;0.00;1;9.18
2026-08-05;10:00:00;ZREMB-CHOJNICE;ZRE (ZREMB);26;9.1200;0.0000;0.00;17;155.04
2026-08-05;10:01:00;ZREMB-CHOJNICE;ZRE (ZREMB);27;9.1800;0.0000;0.00;21;192.78
2026-08-05;10:02:00;ZREMB-CHOJNICE;ZRE (ZREMB);28;9.1100;-0.0100;-0.11;58;528.68
2026-08-05;10:03:00;ZREMB-CHOJNICE;ZRE (ZREMB);29;9.1100;0.0000;0.00;10;91.10
2026-08-05;10:06:00;ZREMB-CHOJNICE;ZRE (ZREMB);30;9.1800;0.0000;0.00;75;688.50
2026-08-05;10:15:00;ZREMB-CHOJNICE;ZRE (ZREMB);31;9.1800;0.0000;0.00;2;18.36
2026-08-05;10:19:00;ZREMB-CHOJNICE;ZRE (ZREMB);32;9.1600;0.0000;0.00;149;1364.84
2026-08-05;10:22:00;ZREMB-CHOJNICE;ZRE (ZREMB);33;9.1600;0.0000;0.00;1;9.16
2026-08-05;10:25:00;ZREMB-CHOJNICE;ZRE (ZREMB);34;9.1600;0.0000;0.00;4;36.64
2026-08-05;10:26:00;ZREMB-CHOJNICE;ZRE (ZREMB);35;9.1600;0.0000;0.00;11;100.76
2026-08-05;10:31:00;ZREMB-CHOJNICE;ZRE (ZREMB);36;9.1600;0.0000;0.00;48;439.68
2026-08-05;10:33:00;ZREMB-CHOJNICE;ZRE (ZREMB);37;9.1800;0.0200;0.22;2314;21228.44
2026-08-05;10:36:00;ZREMB-CHOJNICE;ZRE (ZREMB);38;9.1600;0.0000;0.00;160;1465.60
2026-08-05;10:43:00;ZREMB-CHOJNICE;ZRE (ZREMB);39;9.1600;-0.0200;-0.22;73;669.14
2026-08-05;10:45:00;ZREMB-CHOJNICE;ZRE (ZREMB);40;9.1600;0.0000;0.00;92;842.72
2026-08-05;10:46:00;ZREMB-CHOJNICE;ZRE (ZREMB);41;9.1800;0.0000;0.00;1;9.18
2026-08-05;10:48:00;ZREMB-CHOJNICE;ZRE (ZREMB);42;9.1800;0.0000;0.00;10;91.80
2026-08-05;10:51:00;ZREMB-CHOJNICE;ZRE (ZREMB);43;9.1800;0.0000;0.00;1;9.18
2026-08-05;10:55:00;ZREMB-CHOJNICE;ZRE (ZREMB);44;9.1800;0.0000;0.00;37;339.66
2026-08-05;11:06:00;ZREMB-CHOJNICE;ZRE (ZREMB);45;9.1800;0.0000;0.00;436;4002.48
2026-08-05;11:09:00;ZREMB-CHOJNICE;ZRE (ZREMB);46;9.1800;0.0000;0.00;163;1496.34
2026-08-05;11:12:00;ZREMB-CHOJNICE;ZRE (ZREMB);47;9.1800;0.0000;0.00;200;1836.00
2026-08-05;11:15:00;ZREMB-CHOJNICE;ZRE (ZREMB);48;9.1800;0.0000;0.00;12;110.16
2026-08-05;11:23:00;ZREMB-CHOJNICE;ZRE (ZREMB);49;9.1800;0.0000;0.00;354;3249.72
2026-08-05;11:27:00;ZREMB-CHOJNICE;ZRE (ZREMB);50;9.1900;0.0100;0.11;180;1653.60
2026-08-05;11:30:00;ZREMB-CHOJNICE;ZRE (ZREMB);51;9.1900;0.0000;0.00;23;211.37
2026-08-05;11:31:00;ZREMB-CHOJNICE;ZRE (ZREMB);52;9.1900;0.0000;0.00;320;2940.80
2026-08-05;11:32:00;ZREMB-CHOJNICE;ZRE (ZREMB);53;9.1900;0.0000;0.00;2;18.38
2026-08-05;11:35:00;ZREMB-CHOJNICE;ZRE (ZREMB);54;9.1900;0.0200;0.22;165;1513.87
2026-08-05;11:39:00;ZREMB-CHOJNICE;ZRE (ZREMB);55;9.1900;0.0000;0.00;5;45.95
2026-08-05;11:46:00;ZREMB-CHOJNICE;ZRE (ZREMB);56;9.1900;0.0000;0.00;101;928.19
2026-08-05;12:03:00;ZREMB-CHOJNICE;ZRE (ZREMB);57;9.1900;0.0000;0.00;10;91.90
2026-08-05;12:10:00;ZREMB-CHOJNICE;ZRE (ZREMB);58;9.1900;0.0000;0.00;1;9.19
2026-08-05;12:11:00;ZREMB-CHOJNICE;ZRE (ZREMB);59;9.1900;0.0000;0.00;391;3593.29
2026-08-05;12:17:00;ZREMB-CHOJNICE;ZRE (ZREMB);60;9.1900;0.0000;0.00;500;4595.00
2026-08-05;12:19:00;ZREMB-CHOJNICE;ZRE (ZREMB);61;9.1600;0.0000;0.00;25;229.00
2026-08-05;12:20:00;ZREMB-CHOJNICE;ZRE (ZREMB);62;9.1900;0.0000;0.00;10;91.90
2026-08-05;12:21:00;ZREMB-CHOJNICE;ZRE (ZREMB);63;9.1900;0.0000;0.00;63;578.97
2026-08-05;12:23:00;ZREMB-CHOJNICE;ZRE (ZREMB);64;9.2000;0.0000;0.00;130;1196.00
2026-08-05;12:24:00;ZREMB-CHOJNICE;ZRE (ZREMB);65;9.2000;0.0000;0.00;648;5961.60
2026-08-05;12:27:00;ZREMB-CHOJNICE;ZRE (ZREMB);66;9.1900;0.0000;0.00;3;27.57
2026-08-05;12:30:00;ZREMB-CHOJNICE;ZRE (ZREMB);67;9.2600;0.0700;0.76;87;802.98
2026-08-05;12:34:00;ZREMB-CHOJNICE;ZRE (ZREMB);68;9.2600;0.0000;0.00;2;18.52
2026-08-05;12:38:00;ZREMB-CHOJNICE;ZRE (ZREMB);69;9.2600;0.0000;0.00;2;18.52
2026-08-05;12:40:00;ZREMB-CHOJNICE;ZRE (ZREMB);70;9.3000;0.0400;0.43;1411;13108.26
2026-08-05;12:41:00;ZREMB-CHOJNICE;ZRE (ZREMB);71;9.3300;0.0000;0.00;220;2052.60
2026-08-05;12:47:00;ZREMB-CHOJNICE;ZRE (ZREMB);72;9.3300;0.0000;0.00;100;933.00
