Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;ZUE;ZUE;1;12.0000;-0.0500;-0.41;125;1501.25
2026-09-07;09:01:00;ZUE;ZUE;2;11.8500;0.0000;0.00;413;4894.05
2026-09-07;09:58:00;ZUE;ZUE;3;11.8500;-0.1500;-1.25;383;4539.90
2026-09-07;10:24:00;ZUE;ZUE;4;11.8500;0.0000;0.00;3;35.55
2026-09-07;10:52:00;ZUE;ZUE;5;11.8500;0.0000;0.00;154;1824.90
2026-09-07;10:53:00;ZUE;ZUE;6;11.8500;0.0000;0.00;500;5925.00
2026-09-07;10:54:00;ZUE;ZUE;7;11.8000;0.0000;0.00;11;129.80
2026-09-07;11:03:00;ZUE;ZUE;8;11.8500;0.0500;0.42;120;1421.25
2026-09-07;11:04:00;ZUE;ZUE;9;11.9500;0.0000;0.00;1;11.95
2026-09-07;11:41:00;ZUE;ZUE;10;11.8000;0.0000;0.00;323;3811.40
2026-09-07;12:22:00;ZUE;ZUE;11;11.8000;0.0000;0.00;17;200.60
2026-09-07;12:57:00;ZUE;ZUE;12;11.7000;-0.0500;-0.43;100;1170.05
2026-09-07;13:00:00;ZUE;ZUE;13;11.8000;0.0000;0.00;2;23.60
2026-09-07;13:43:00;ZUE;ZUE;14;11.8000;0.0000;0.00;185;2183.00
2026-09-07;13:47:00;ZUE;ZUE;15;11.9000;0.1000;0.85;1100;13068.70
2026-09-07;14:28:00;ZUE;ZUE;16;11.9000;0.0000;0.00;113;1344.70
2026-09-07;14:31:00;ZUE;ZUE;17;12.0000;0.0500;0.42;832;9976.90
2026-09-07;14:43:00;ZUE;ZUE;18;12.0000;0.0000;0.00;260;3120.00
2026-09-07;14:56:00;ZUE;ZUE;19;12.0500;0.0000;0.00;195;2349.75
2026-09-07;16:06:00;ZUE;ZUE;20;12.0000;0.0000;0.00;3;36.00
2026-09-07;17:00:00;ZUE;ZUE;21;11.8000;0.0000;0.00;4;47.20
